car_type,model_year,interval_start,interval_end,duration,exposure_month,n_censored,n_failed,active_warranties
Compact SUV,2019,2021-05-01,2021-05-31,25,05,4.0,,904
Compact SUV,2019,2021-05-01,2021-05-31,26,05,2.0,,904
Compact SUV,2019,2021-05-01,2021-05-31,27,05,1.0,,904
Compact SUV,2019,2021-05-01,2021-05-31,28,05,7.0,,904
Compact SUV,2019,2021-05-01,2021-05-31,29,05,3.0,,904
Compact SUV,2019,2021-05-01,2021-05-31,30,05,1.0,,904
Compact SUV,2019,2021-06-01,2021-06-30,19,06,,1.0,875
Compact SUV,2019,2021-06-01,2021-06-30,20,06,3.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,21,06,4.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,22,06,2.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,23,06,7.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,24,06,3.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,25,06,2.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,26,06,2.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,27,06,3.0,,875
Compact SUV,2019,2021-06-01,2021-06-30,30,06,2.0,,875
Compact SUV,2019,2021-07-01,2021-07-31,20,07,1.0,1.0,847
Compact SUV,2019,2021-07-01,2021-07-31,21,07,3.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,22,07,3.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,23,07,1.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,24,07,10.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,25,07,4.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,26,07,4.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,27,07,5.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,28,07,7.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,29,07,1.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,30,07,1.0,,847
Compact SUV,2019,2021-07-01,2021-07-31,31,07,2.0,,847
Compact SUV,2019,2021-08-01,2021-08-31,19,08,1.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,20,08,1.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,21,08,2.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,22,08,4.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,23,08,6.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,24,08,6.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,25,08,9.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,26,08,5.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,27,08,9.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,28,08,2.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,29,08,4.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,30,08,5.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,31,08,2.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,32,08,2.0,,806
Compact SUV,2019,2021-08-01,2021-08-31,33,08,2.0,,806
Compact SUV,2019,2021-09-01,2021-09-30,19,09,1.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,20,09,1.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,21,09,2.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,22,09,3.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,23,09,2.0,1.0,742
Compact SUV,2019,2021-09-01,2021-09-30,24,09,4.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,25,09,5.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,26,09,6.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,27,09,8.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,28,09,3.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,29,09,4.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,30,09,2.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,31,09,4.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,33,09,1.0,,742
Compact SUV,2019,2021-09-01,2021-09-30,34,09,1.0,,742
Compact SUV,2019,2021-10-01,2021-10-31,19,10,1.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,20,10,3.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,22,10,1.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,23,10,4.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,24,10,6.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,25,10,6.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,26,10,4.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,27,10,8.0,1.0,699
Compact SUV,2019,2021-10-01,2021-10-31,28,10,3.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,29,10,2.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,30,10,4.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,31,10,3.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,32,10,1.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,34,10,4.0,,699
Compact SUV,2019,2021-10-01,2021-10-31,36,10,3.0,,699
Compact SUV,2019,2021-11-01,2021-11-30,19,11,,1.0,643
Compact SUV,2019,2021-11-01,2021-11-30,22,11,1.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,23,11,2.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,24,11,6.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,25,11,7.0,1.0,643
Compact SUV,2019,2021-11-01,2021-11-30,26,11,8.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,27,11,7.0,1.0,643
Compact SUV,2019,2021-11-01,2021-11-30,28,11,5.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,29,11,3.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,31,11,4.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,32,11,2.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,33,11,1.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,34,11,2.0,,643
Compact SUV,2019,2021-11-01,2021-11-30,36,11,4.0,,643
Compact SUV,2019,2021-12-01,2021-12-31,23,12,1.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,24,12,1.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,25,12,8.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,26,12,3.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,27,12,4.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,28,12,8.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,29,12,4.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,30,12,1.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,31,12,6.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,32,12,7.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,33,12,1.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,34,12,1.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,35,12,1.0,,593
Compact SUV,2019,2021-12-01,2021-12-31,36,12,2.0,,593
Compact SUV,2019,2022-01-01,2022-01-31,19,01,1.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,22,01,2.0,1.0,543
Compact SUV,2019,2022-01-01,2022-01-31,24,01,4.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,25,01,3.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,26,01,2.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,27,01,7.0,1.0,543
Compact SUV,2019,2022-01-01,2022-01-31,28,01,7.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,29,01,5.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,30,01,5.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,31,01,4.0,2.0,543
Compact SUV,2019,2022-01-01,2022-01-31,32,01,3.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,33,01,8.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,34,01,1.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,35,01,1.0,,543
Compact SUV,2019,2022-01-01,2022-01-31,36,01,2.0,,543
Compact SUV,2019,2022-02-01,2022-02-28,21,02,1.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,22,02,3.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,24,02,1.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,25,02,6.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,26,02,6.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,27,02,5.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,28,02,7.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,29,02,4.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,30,02,5.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,31,02,5.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,32,02,4.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,33,02,2.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,34,02,2.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,35,02,3.0,,489
Compact SUV,2019,2022-02-01,2022-02-28,36,02,6.0,,489
Compact SUV,2019,2022-03-01,2022-03-31,22,03,1.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,24,03,2.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,25,03,1.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,26,03,3.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,27,03,4.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,28,03,6.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,29,03,4.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,30,03,4.0,1.0,431
Compact SUV,2019,2022-03-01,2022-03-31,31,03,3.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,32,03,5.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,33,03,3.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,34,03,4.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,35,03,1.0,,431
Compact SUV,2019,2022-03-01,2022-03-31,36,03,4.0,,431
Compact SUV,2019,2022-04-01,2022-04-30,24,04,1.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,25,04,2.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,26,04,3.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,27,04,5.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,28,04,4.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,29,04,2.0,1.0,385
Compact SUV,2019,2022-04-01,2022-04-30,30,04,4.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,31,04,3.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,32,04,4.0,1.0,385
Compact SUV,2019,2022-04-01,2022-04-30,33,04,9.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,34,04,4.0,,385
Compact SUV,2019,2022-04-01,2022-04-30,35,04,1.0,1.0,385
Compact SUV,2019,2022-04-01,2022-04-30,36,04,9.0,,385
Compact SUV,2019,2022-05-01,2022-05-31,23,05,1.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,24,05,1.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,25,05,1.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,26,05,4.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,27,05,4.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,28,05,6.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,29,05,4.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,30,05,8.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,31,05,3.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,32,05,2.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,33,05,3.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,34,05,2.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,35,05,4.0,,333
Compact SUV,2019,2022-05-01,2022-05-31,36,05,12.0,,333
Compact SUV,2019,2022-06-01,2022-06-30,25,06,2.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,27,06,3.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,28,06,2.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,29,06,2.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,30,06,5.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,31,06,4.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,32,06,9.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,33,06,1.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,34,06,3.0,,276
Compact SUV,2019,2022-06-01,2022-06-30,36,06,16.0,,276
Compact SUV,2019,2022-07-01,2022-07-31,25,07,,2.0,231
Compact SUV,2019,2022-07-01,2022-07-31,26,07,1.0,,231
Compact SUV,2019,2022-07-01,2022-07-31,28,07,2.0,,231
Compact SUV,2019,2022-07-01,2022-07-31,29,07,3.0,,231
Compact SUV,2019,2022-07-01,2022-07-31,30,07,1.0,1.0,231
Compact SUV,2019,2022-07-01,2022-07-31,31,07,3.0,,231
Compact SUV,2019,2022-07-01,2022-07-31,32,07,6.0,,231
Compact SUV,2019,2022-07-01,2022-07-31,33,07,2.0,,231
Compact SUV,2019,2022-07-01,2022-07-31,34,07,3.0,1.0,231
Compact SUV,2019,2022-07-01,2022-07-31,36,07,14.0,,231
Compact SUV,2019,2022-08-01,2022-08-31,27,08,3.0,1.0,196
Compact SUV,2019,2022-08-01,2022-08-31,28,08,2.0,,196
Compact SUV,2019,2022-08-01,2022-08-31,29,08,7.0,,196
Compact SUV,2019,2022-08-01,2022-08-31,31,08,2.0,,196
Compact SUV,2019,2022-08-01,2022-08-31,32,08,5.0,,196
Compact SUV,2019,2022-08-01,2022-08-31,34,08,1.0,,196
Compact SUV,2019,2022-08-01,2022-08-31,35,08,2.0,,196
Compact SUV,2019,2022-08-01,2022-08-31,36,08,15.0,,196
Compact SUV,2019,2022-09-01,2022-09-30,26,09,1.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,27,09,1.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,30,09,2.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,31,09,3.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,32,09,3.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,33,09,3.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,34,09,1.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,35,09,1.0,,161
Compact SUV,2019,2022-09-01,2022-09-30,36,09,17.0,,161
Compact SUV,2019,2022-10-01,2022-10-31,27,10,1.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,28,10,2.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,29,10,3.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,30,10,2.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,31,10,1.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,32,10,4.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,33,10,7.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,34,10,2.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,35,10,1.0,,128
Compact SUV,2019,2022-10-01,2022-10-31,36,10,16.0,,128
Compact SUV,2019,2022-11-01,2022-11-30,29,11,1.0,,89
Compact SUV,2019,2022-11-01,2022-11-30,30,11,2.0,,89
Compact SUV,2019,2022-11-01,2022-11-30,32,11,2.0,,89
Compact SUV,2019,2022-11-01,2022-11-30,34,11,3.0,,89
Compact SUV,2019,2022-11-01,2022-11-30,35,11,1.0,,89
Compact SUV,2019,2022-11-01,2022-11-30,36,11,14.0,,89
Compact SUV,2019,2022-12-01,2022-12-31,29,12,2.0,,66
Compact SUV,2019,2022-12-01,2022-12-31,31,12,1.0,,66
Compact SUV,2019,2022-12-01,2022-12-31,32,12,2.0,,66
Compact SUV,2019,2022-12-01,2022-12-31,33,12,3.0,,66
Compact SUV,2019,2022-12-01,2022-12-31,34,12,1.0,,66
Compact SUV,2019,2022-12-01,2022-12-31,35,12,2.0,,66
Compact SUV,2019,2022-12-01,2022-12-31,36,12,10.0,,66
Compact SUV,2019,2023-01-01,2023-01-31,32,01,2.0,,46
Compact SUV,2019,2023-01-01,2023-01-31,33,01,1.0,,46
Compact SUV,2019,2023-01-01,2023-01-31,34,01,1.0,,46
Compact SUV,2019,2023-01-01,2023-01-31,35,01,1.0,,46
Compact SUV,2019,2023-01-01,2023-01-31,36,01,11.0,,46
Compact SUV,2019,2023-02-01,2023-02-28,32,02,2.0,,28
Compact SUV,2019,2023-02-01,2023-02-28,33,02,1.0,,28
Compact SUV,2019,2023-02-01,2023-02-28,34,02,1.0,,28
Compact SUV,2019,2023-02-01,2023-02-28,35,02,1.0,,28
Compact SUV,2019,2023-02-01,2023-02-28,36,02,5.0,,28
Compact SUV,2019,2023-03-01,2023-03-31,33,03,1.0,,19
Compact SUV,2019,2023-03-01,2023-03-31,35,03,1.0,,19
Compact SUV,2019,2023-03-01,2023-03-31,36,03,3.0,,19
Compact SUV,2019,2023-04-01,2023-04-30,34,04,2.0,,15
Compact SUV,2019,2023-04-01,2023-04-30,35,04,2.0,,15
Compact SUV,2019,2023-04-01,2023-04-30,36,04,6.0,,15
Compact SUV,2019,2023-05-01,2023-05-31,34,05,2.0,,5
Compact SUV,2019,2023-05-01,2023-05-31,35,05,2.0,,5
Compact SUV,2019,2023-05-01,2023-05-31,36,05,1.0,,5
Compact SUV,2020,2019-11-01,2019-11-30,0,11,,1.0,16
Compact SUV,2020,2020-02-01,2020-02-29,2,02,,1.0,111
Compact SUV,2020,2020-04-01,2020-04-30,3,04,,1.0,228
Compact SUV,2020,2020-05-01,2020-05-31,2,05,,1.0,291
Compact SUV,2020,2020-05-01,2020-05-31,5,05,,1.0,291
Compact SUV,2020,2020-06-01,2020-06-30,1,06,,1.0,355
Compact SUV,2020,2020-06-01,2020-06-30,2,06,,1.0,355
Compact SUV,2020,2020-06-01,2020-06-30,3,06,,1.0,355
Compact SUV,2020,2020-06-01,2020-06-30,4,06,,1.0,355
Compact SUV,2020,2020-07-01,2020-07-31,1,07,,1.0,417
Compact SUV,2020,2020-08-01,2020-08-31,0,08,,1.0,491
Compact SUV,2020,2020-08-01,2020-08-31,5,08,,1.0,491
Compact SUV,2020,2020-09-01,2020-09-30,3,09,,1.0,573
Compact SUV,2020,2020-10-01,2020-10-31,1,10,,1.0,656
Compact SUV,2020,2020-11-01,2020-11-30,0,11,,1.0,735
Compact SUV,2020,2020-12-01,2020-12-31,2,12,,1.0,799
Compact SUV,2020,2020-12-01,2020-12-31,9,12,,1.0,799
Compact SUV,2020,2021-01-01,2021-01-31,2,01,,1.0,857
Compact SUV,2020,2021-01-01,2021-01-31,4,01,,1.0,857
Compact SUV,2020,2021-01-01,2021-01-31,6,01,,2.0,857
Compact SUV,2020,2021-01-01,2021-01-31,11,01,,1.0,857
Compact SUV,2020,2021-01-01,2021-01-31,12,01,,1.0,857
Compact SUV,2020,2021-02-01,2021-02-28,2,02,,1.0,902
Compact SUV,2020,2021-02-01,2021-02-28,3,02,,1.0,902
Compact SUV,2020,2021-02-01,2021-02-28,4,02,,1.0,902
Compact SUV,2020,2021-02-01,2021-02-28,6,02,,1.0,902
Compact SUV,2020,2021-02-01,2021-02-28,14,02,,1.0,902
Compact SUV,2020,2021-03-01,2021-03-31,3,03,,1.0,933
Compact SUV,2020,2021-03-01,2021-03-31,6,03,,2.0,933
Compact SUV,2020,2021-03-01,2021-03-31,14,03,,1.0,933
Compact SUV,2020,2021-04-01,2021-04-30,5,04,,1.0,959
Compact SUV,2020,2021-04-01,2021-04-30,7,04,,1.0,959
Compact SUV,2020,2021-04-01,2021-04-30,12,04,,1.0,959
Compact SUV,2020,2021-04-01,2021-04-30,13,04,,1.0,959
Compact SUV,2020,2021-05-01,2021-05-31,5,05,,1.0,985
Compact SUV,2020,2021-05-01,2021-05-31,7,05,,1.0,985
Compact SUV,2020,2021-05-01,2021-05-31,9,05,,2.0,985
