vin,manufacture_date,purchase_date,model_year,car_type,annual_mileage,n_fails,nvlw_timeout,days_to_mileout,nvlw_mileout,nvlw_end_date
32,2019-06-28,2019-09-19,2019,Sedan,11938.09910541387,0.0,2022-09-19,1100.6777447542777,2022-09-24,2022-09-19
33,2019-04-12,2020-03-22,2019,Sedan,11200.927788024062,0.0,2023-03-22,1173.1171067854912,2023-06-08,2023-03-22
34,2018-12-21,2019-04-28,2019,Sedan,10353.308449057315,0.0,2022-04-28,1269.159521775517,2022-10-18,2022-04-28
35,2018-08-24,2019-03-20,2019,Sedan,11244.951369109995,0.0,2022-03-20,1168.5243954096345,2022-06-01,2022-03-20
36,2019-02-08,2019-11-09,2019,Sedan,8656.572611767328,0.0,2022-11-09,1517.921767575555,2024-01-05,2022-11-09
37,2019-01-30,2019-06-12,2019,Sedan,9097.201404509444,1.0,2022-06-12,1444.4002518715874,2023-05-26,2022-06-12
38,2019-04-23,2020-03-24,2019,Sedan,10360.285035816161,0.0,2023-03-24,1268.304873328696,2023-09-13,2023-03-24
39,2019-06-28,2019-10-26,2019,Sedan,13714.398658076323,0.0,2022-10-26,958.1171094411739,2022-06-10,2022-06-10
40,2018-08-29,2019-08-16,2019,Sedan,11799.81874996538,1.0,2022-08-16,1113.5764267598222,2022-09-03,2022-08-16
41,2018-09-24,2019-04-29,2019,Sedan,11986.637294538197,0.0,2022-04-29,1096.2207062015082,2022-04-29,2022-04-29
42,2019-03-09,2020-02-18,2019,Sedan,14065.288923783064,0.0,2023-02-18,934.2147232952684,2022-09-09,2022-09-09
43,2019-06-27,2019-11-26,2019,Sedan,13053.98475439293,1.0,2022-11-26,1006.5891945812274,2022-08-29,2022-08-29
44,2018-11-27,2019-03-19,2019,Sedan,9675.604294233306,0.0,2022-03-19,1358.05471166607,2022-12-06,2022-03-19
45,2019-06-18,2020-06-09,2019,Sedan,11318.099556256451,0.0,2023-06-09,1160.9722935098616,2023-08-14,2023-06-09
46,2019-03-06,2020-02-21,2019,Sedan,7802.967730307335,0.0,2023-02-21,1683.974668889532,2024-10-01,2023-02-21
47,2019-01-16,2019-06-21,2019,Sedan,11217.18570967023,0.0,2022-06-21,1171.4168188079593,2022-09-04,2022-06-21
48,2019-03-14,2019-11-19,2019,Sedan,10562.869951496783,0.0,2022-11-19,1243.980098243852,2023-04-16,2022-11-19
49,2019-04-19,2019-08-06,2019,Sedan,15181.461738494809,0.0,2022-08-06,865.5293031949363,2021-12-19,2021-12-19
50,2018-09-25,2019-08-31,2019,Sedan,11951.744373194735,0.0,2022-08-31,1099.4211045435572,2022-09-03,2022-08-31
51,2019-03-08,2019-06-08,2019,Sedan,11449.363379752282,0.0,2022-06-08,1147.6620633106586,2022-07-30,2022-06-08
52,2018-11-04,2019-10-18,2019,Sedan,10783.88448235598,0.0,2022-10-18,1218.484862435143,2023-02-17,2022-10-18
53,2019-03-30,2019-06-28,2019,Sedan,9642.106812285987,1.0,2022-06-28,1362.772706817248,2023-03-22,2022-06-28
54,2018-11-21,2019-05-05,2019,Sedan,10918.082086252616,0.0,2022-05-05,1203.50807918408,2022-08-21,2022-05-05
55,2019-07-23,2020-06-01,2019,Sedan,6681.724188671858,0.0,2023-06-01,1966.5582758230953,2025-10-20,2023-06-01
56,2018-10-14,2019-09-11,2019,Sedan,10802.030507625639,0.0,2022-09-11,1216.4379642071815,2023-01-09,2022-09-11
57,2018-12-17,2019-09-21,2019,Sedan,11017.252827572802,0.0,2022-09-21,1192.6748170028934,2022-12-27,2022-09-21
58,2018-09-29,2019-05-07,2019,Sedan,12177.572690517916,0.0,2022-05-07,1079.0327706466069,2022-04-20,2022-04-20
59,2019-01-20,2019-11-14,2019,Sedan,8753.264069701676,0.0,2022-11-14,1501.1543003120928,2023-12-24,2022-11-14
60,2019-05-25,2020-05-18,2019,Sedan,10376.017072821294,0.0,2023-05-18,1266.3818792683583,2023-11-05,2023-05-18
61,2019-07-01,2020-04-18,2019,Sedan,13098.486910200463,0.0,2023-04-18,1003.169304216902,2023-01-16,2023-01-16
62,2019-05-28,2020-01-28,2019,Sedan,12155.57065450392,0.0,2023-01-28,1080.9858601851265,2023-01-13,2023-01-13
63,2019-02-16,2019-09-17,2019,Sedan,11999.761521683427,1.0,2022-09-17,1095.0217615788592,2022-09-16,2022-09-16
64,2019-04-15,2019-10-19,2019,Sedan,12578.59655387394,0.0,2022-10-19,1044.6316442157581,2022-08-29,2022-08-29
65,2019-04-18,2019-09-17,2019,Sedan,7478.466189277786,0.0,2022-09-17,1757.0447826373024,2024-07-09,2022-09-17
66,2019-05-09,2019-11-09,2019,Sedan,13202.504777863493,0.0,2022-11-09,995.2656879194398,2022-07-31,2022-07-31
67,2019-04-29,2019-08-08,2019,Sedan,8419.154510496353,0.0,2022-08-08,1560.7267907505511,2023-11-16,2022-08-08
68,2019-02-12,2020-02-01,2019,Sedan,13464.919091099913,0.0,2023-02-01,975.8692132569383,2022-10-04,2022-10-04
69,2019-07-26,2020-02-24,2019,Sedan,10420.181664980522,0.0,2023-02-24,1261.014483476816,2023-08-08,2023-02-24
70,2018-10-08,2019-09-01,2019,Sedan,13919.055676920807,0.0,2022-09-01,944.0295595474512,2022-04-02,2022-04-02
71,2019-03-09,2020-01-16,2019,Sedan,10663.841056026225,0.0,2023-01-16,1232.2014113830473,2023-06-01,2023-01-16
72,2019-01-27,2019-09-19,2019,Sedan,11349.825012705398,0.0,2022-09-19,1157.7271002231855,2022-11-20,2022-09-19
73,2019-01-31,2019-11-16,2019,Sedan,10855.206676515814,0.0,2022-11-16,1210.4790255561982,2023-03-10,2022-11-16
74,2018-12-19,2019-07-14,2019,Sedan,11667.252525430482,0.0,2022-07-14,1126.2291590380382,2022-08-13,2022-07-14
75,2019-04-18,2019-07-24,2019,Sedan,10859.482679324807,0.0,2022-07-24,1210.0023903548404,2022-11-15,2022-07-24
76,2019-02-20,2019-06-20,2019,Sedan,7779.769059720671,0.0,2022-06-20,1688.9961513165772,2024-02-03,2022-06-20
77,2018-12-27,2019-11-14,2019,Sedan,12215.597034151435,0.0,2022-11-14,1075.6739898397261,2022-10-25,2022-10-25
78,2019-06-09,2020-03-09,2019,Sedan,8555.790576321951,0.0,2023-03-09,1535.8019674259904,2024-05-23,2023-03-09
79,2019-06-28,2019-11-19,2019,Sedan,10459.25869440099,0.0,2022-11-19,1256.3031839946793,2023-04-28,2022-11-19
80,2019-05-08,2019-12-29,2019,Sedan,11660.0854898177,0.0,2022-12-29,1126.9214116375606,2023-01-29,2022-12-29
81,2018-11-23,2019-04-09,2019,Sedan,12600.908910701195,1.0,2022-04-09,1042.7819209803974,2022-02-15,2022-02-15
82,2018-12-30,2019-11-05,2019,Sedan,12616.719502449614,0.0,2022-11-05,1041.4751629731318,2022-09-11,2022-09-11
83,2019-06-27,2020-03-28,2019,Sedan,11772.494848101842,0.0,2023-03-28,1116.1610320958137,2023-04-18,2023-03-28
84,2018-12-18,2019-03-08,2019,Sedan,13453.091838848854,0.0,2022-03-08,976.7271462501483,2021-11-09,2021-11-09
85,2018-12-21,2019-03-30,2019,Sedan,11157.842789486427,0.0,2022-03-30,1177.6469921570574,2022-06-20,2022-03-30
86,2018-11-06,2019-10-17,2019,Sedan,10663.460220994262,0.0,2022-10-17,1232.2454182489391,2023-03-02,2022-10-17
87,2019-07-15,2020-07-02,2019,Sedan,13856.467420359439,0.0,2023-07-02,948.2936452254255,2023-02-05,2023-02-05
88,2019-01-10,2019-08-18,2019,Sedan,10942.496715373267,0.0,2022-08-18,1200.8228416042775,2022-12-01,2022-08-18
89,2019-06-06,2020-01-26,2019,Sedan,9748.911417868896,0.0,2023-01-26,1347.8427935980153,2023-10-05,2023-01-26
90,2019-03-30,2019-11-24,2019,Sedan,11207.600891404407,0.0,2022-11-24,1172.418622622227,2023-02-08,2022-11-24
91,2019-04-08,2020-02-16,2019,Sedan,8487.017403782782,0.0,2023-02-16,1548.2470902137327,2024-05-13,2023-02-16
92,2018-12-14,2019-12-05,2019,Sedan,10894.842544170408,0.0,2022-12-05,1206.0752550325683,2023-03-25,2022-12-05
93,2019-04-20,2020-02-07,2019,Sedan,11769.193514729102,0.0,2023-02-07,1116.4741223394226,2023-02-27,2023-02-07
94,2019-06-12,2019-09-15,2019,Sedan,9170.150820067898,0.0,2022-09-15,1432.909911497258,2023-08-18,2022-09-15
95,2018-11-26,2019-03-13,2019,Sedan,8812.740107698592,0.0,2022-03-13,1491.0232049758533,2023-04-12,2022-03-13
96,2018-12-22,2019-07-08,2019,Sedan,13844.85567367888,0.0,2022-07-08,949.0889836418509,2022-02-11,2022-02-11
97,2019-06-09,2020-04-06,2019,Sedan,9174.437201136869,0.0,2023-04-06,1432.2404428657196,2024-03-08,2023-04-06
98,2019-03-28,2019-06-29,2019,Sedan,9789.909900296976,0.0,2022-06-29,1342.1982565540668,2023-03-02,2022-06-29
99,2019-05-14,2019-08-13,2019,Sedan,8142.3950037704835,0.0,2022-08-13,1613.7757986336069,2024-01-13,2022-08-13
100,2019-03-13,2019-10-17,2019,Sedan,7923.238918134328,0.0,2022-10-17,1658.412694072092,2024-05-01,2022-10-17
101,2019-05-12,2020-05-01,2019,Sedan,7624.451698256355,0.0,2023-05-01,1723.4026156930083,2025-01-18,2023-05-01
102,2018-09-11,2019-06-26,2019,Sedan,10090.8094496652,0.0,2022-06-26,1302.1750203038437,2023-01-18,2022-06-26
103,2019-01-11,2019-08-04,2019,Sedan,9196.168278988578,0.0,2022-08-04,1428.8559758113925,2023-07-03,2022-08-04
104,2019-01-22,2019-10-06,2019,Sedan,7588.913808841567,0.0,2022-10-06,1731.4730844209967,2024-07-02,2022-10-06
105,2019-06-24,2020-02-16,2019,Sedan,12467.183645228364,0.0,2023-02-16,1053.9669883686317,2023-01-05,2023-01-05
106,2019-01-14,2019-03-26,2019,Sedan,10236.7371600711,0.0,2022-03-26,1283.6121309486407,2022-09-30,2022-03-26
107,2019-06-23,2020-04-14,2019,Sedan,7616.679421728482,0.0,2023-04-14,1725.1612247871253,2025-01-03,2023-04-14
108,2018-08-26,2019-04-24,2019,Sedan,9976.448768404847,0.0,2022-04-24,1317.101937275921,2022-12-01,2022-04-24
109,2019-05-29,2019-10-22,2019,Sedan,11201.674951599412,0.0,2022-10-22,1173.0388586328181,2023-01-07,2022-10-22
110,2018-09-07,2019-01-04,2019,Sedan,10953.984683505701,0.0,2022-01-04,1199.5634812038727,2022-04-18,2022-01-04
111,2019-02-26,2020-01-04,2019,Sedan,13259.019370135207,0.0,2023-01-04,991.0235163843801,2022-09-21,2022-09-21
112,2018-11-08,2019-02-06,2019,Sedan,7990.297907938823,0.0,2022-02-06,1644.494379482979,2023-08-08,2022-02-06
113,2019-04-25,2019-10-13,2019,Sedan,10629.825238769236,0.0,2022-10-13,1236.144499542252,2023-03-02,2022-10-13
114,2019-07-25,2020-02-17,2019,Sedan,10884.535682456326,0.0,2023-02-17,1207.2173203657212,2023-06-08,2023-02-17
115,2018-11-16,2019-03-22,2019,Sedan,11813.774912776837,0.0,2022-03-22,1112.2609070356355,2022-04-07,2022-03-22
116,2018-12-17,2019-06-21,2019,Sedan,6677.229717533572,0.0,2022-06-21,1967.8819743906665,2024-11-09,2022-06-21
117,2019-07-09,2020-03-28,2019,Sedan,11832.985002720201,0.0,2023-03-28,1110.4552230041143,2023-04-12,2023-03-28
118,2019-01-28,2019-10-15,2019,Sedan,10555.292621721603,0.0,2022-10-15,1244.8731144562832,2023-03-13,2022-10-15
119,2018-11-14,2019-09-24,2019,Sedan,11970.45784757684,0.0,2022-09-24,1097.7023742379165,2022-09-26,2022-09-24
120,2019-07-14,2019-10-23,2019,Sedan,9747.394131857272,0.0,2022-10-23,1348.0525997255738,2023-07-02,2022-10-23
121,2019-06-19,2019-11-11,2019,Sedan,10081.86863856305,0.0,2022-11-11,1303.329816234624,2023-06-06,2022-11-11
122,2019-05-27,2020-03-11,2019,Sedan,14585.264016753083,0.0,2023-03-11,900.9093002983692,2022-08-29,2022-08-29
123,2018-08-12,2019-05-04,2019,Sedan,10902.316935344,0.0,2022-05-04,1205.2483960910824,2022-08-21,2022-05-04
124,2018-11-12,2019-10-19,2019,Sedan,14284.323875131497,0.0,2022-10-19,919.8895316897899,2022-04-26,2022-04-26
125,2019-06-01,2019-12-20,2019,Sedan,9741.600822454704,0.0,2022-12-20,1348.8542837550763,2023-08-30,2022-12-20
126,2019-04-21,2019-08-29,2019,Sedan,10699.23951330042,0.0,2022-08-29,1228.1246703249728,2023-01-08,2022-08-29
127,2018-09-01,2019-06-08,2019,Sedan,9702.43099752562,1.0,2022-06-08,1354.2997629512697,2023-02-21,2022-06-08
128,2019-06-24,2020-05-30,2019,Sedan,13053.826527202442,0.0,2023-05-30,1006.6013955845044,2023-03-03,2023-03-03
129,2019-02-12,2019-09-02,2019,Sedan,9841.394601060758,0.0,2022-09-02,1335.1766220799336,2023-04-29,2022-09-02
130,2018-10-09,2019-07-08,2019,Sedan,9897.872757780708,0.0,2022-07-08,1327.5579835748706,2023-02-25,2022-07-08
131,2018-10-11,2019-06-11,2019,Sedan,11416.037653590918,2.0,2022-06-11,1151.012321325588,2022-08-05,2022-06-11
132,2019-05-01,2020-01-10,2019,Sedan,11785.46571723868,0.0,2023-01-10,1114.932605571966,2023-01-29,2023-01-10
133,2019-02-17,2019-08-14,2019,Sedan,8439.097400240844,0.0,2022-08-14,1557.038552443416,2023-11-18,2022-08-14
134,2019-06-13,2019-10-28,2019,Sedan,8316.650711313669,0.0,2022-10-28,1579.9629509659246,2024-02-24,2022-10-28
135,2019-05-13,2019-08-23,2019,Sedan,11963.424284326149,0.0,2022-08-23,1098.3477378809791,2022-08-25,2022-08-23
136,2019-04-27,2019-09-24,2019,Sedan,12320.137365914612,0.0,2022-09-24,1066.5465497449447,2022-08-26,2022-08-26
137,2019-01-25,2019-06-11,2019,Sedan,11923.458940546927,0.0,2022-06-11,1102.0292069204938,2022-06-17,2022-06-11
138,2019-04-19,2019-10-14,2019,Sedan,11108.444470874641,0.0,2022-10-14,1182.88388931969,2023-01-09,2022-10-14
139,2018-08-15,2019-02-10,2019,Sedan,9053.448259943008,2.0,2022-02-10,1451.3806919445208,2023-01-31,2022-02-10
140,2019-01-15,2019-03-22,2019,Sedan,9442.143710665592,0.0,2022-03-22,1391.6331293663122,2023-01-12,2022-03-22
141,2019-04-22,2020-02-24,2019,Sedan,11091.997612194185,0.0,2023-02-24,1184.6378316521009,2023-05-24,2023-02-24
142,2018-10-23,2019-03-25,2019,Sedan,11066.426422167422,0.0,2022-03-25,1187.3751741283847,2022-06-24,2022-03-25
143,2019-05-04,2019-11-14,2019,Sedan,13236.005248684121,0.0,2022-11-14,992.7466598206686,2022-08-03,2022-08-03
144,2019-05-29,2019-12-19,2019,Sedan,12885.690123973627,0.0,2022-12-19,1019.7358366978912,2022-10-04,2022-10-04
145,2019-05-26,2019-07-27,2019,Sedan,11570.719123971232,0.0,2022-07-27,1135.6251810466704,2022-09-05,2022-07-27
146,2019-06-24,2019-11-05,2019,Sedan,15181.766378847626,0.0,2022-11-05,865.5119353112714,2022-03-20,2022-03-20
147,2019-03-21,2019-12-20,2019,Sedan,8548.173400901884,0.0,2022-12-20,1537.1705022518204,2024-03-05,2022-12-20
148,2018-09-06,2019-08-05,2019,Sedan,14067.317892626543,0.0,2022-08-05,934.0799788769541,2022-02-24,2022-02-24
149,2019-07-07,2020-03-12,2019,Sedan,11090.256963986682,0.0,2023-03-12,1184.8237640182224,2023-06-10,2023-03-12
150,2019-04-04,2020-03-18,2019,Sedan,10015.913417512864,0.0,2023-03-18,1311.912299184282,2023-10-21,2023-03-18
151,2018-12-10,2019-07-21,2019,Sedan,9334.020566234325,0.0,2022-07-21,1407.7534870164895,2023-05-29,2022-07-21
152,2018-08-17,2018-12-19,2019,Sedan,7609.844932343582,0.0,2021-12-19,1726.710611953733,2023-09-11,2021-12-19
153,2019-07-21,2020-06-08,2019,Sedan,12711.969029598296,0.0,2023-06-08,1033.6714925441593,2023-04-08,2023-04-08
154,2018-10-23,2019-01-18,2019,Sedan,14635.518332930878,0.0,2022-01-18,897.815827296949,2021-07-04,2021-07-04
155,2018-09-01,2019-06-21,2019,Sedan,12690.295812066019,0.0,2022-06-21,1035.4368562083794,2022-04-21,2022-04-21
156,2019-03-29,2020-03-09,2019,Sedan,10463.378789835699,0.0,2023-03-09,1255.8084978022982,2023-08-17,2023-03-09
157,2019-04-29,2020-01-14,2019,Sedan,8903.620773965835,0.0,2023-01-14,1475.8040951633213,2024-01-29,2023-01-14
158,2019-07-16,2020-04-04,2019,Sedan,11655.56014860229,0.0,2023-04-04,1127.3589456424127,2023-05-06,2023-04-04
159,2018-10-09,2019-06-30,2019,Sedan,10808.23496738005,1.0,2022-06-30,1215.7396688411536,2022-10-28,2022-06-30
160,2019-02-18,2019-11-06,2019,Sedan,9627.797730475662,0.0,2022-11-06,1364.7980948339696,2023-08-02,2022-11-06
161,2019-05-30,2019-09-20,2019,Sedan,8272.232806121283,0.0,2022-09-20,1588.4465908982481,2024-01-25,2022-09-20
162,2018-08-12,2019-06-14,2019,Sedan,10319.92726926623,0.0,2022-06-14,1273.264787352933,2022-12-08,2022-06-14
163,2019-01-18,2019-10-10,2019,Sedan,9574.204656103799,0.0,2022-10-10,1372.4377608350912,2023-07-13,2022-10-10
164,2019-03-31,2019-06-30,2019,Sedan,10574.954981436778,0.0,2022-06-30,1242.5584811534316,2022-11-24,2022-06-30
165,2019-02-10,2019-07-17,2019,Sedan,9353.394715053822,0.0,2022-07-17,1404.8375376323875,2023-05-22,2022-07-17
166,2019-02-03,2019-05-08,2019,Sedan,14514.917215004472,0.0,2022-05-08,905.2755730784892,2021-10-29,2021-10-29
167,2019-03-16,2019-08-29,2019,Sedan,11630.868895571853,0.0,2022-08-29,1129.7522238431136,2022-10-02,2022-08-29
168,2019-02-23,2019-12-05,2019,Sedan,10113.397214097295,0.0,2022-12-05,1299.2666778363907,2023-06-26,2022-12-05
169,2018-12-15,2019-05-07,2019,Sedan,8843.349330307217,0.0,2022-05-07,1485.862370602917,2023-06-01,2022-05-07
170,2019-05-08,2019-09-01,2019,Sedan,11781.141648204084,0.0,2022-09-01,1115.341822751368,2022-09-20,2022-09-01
171,2019-07-22,2020-03-12,2019,Sedan,10534.398578172262,0.0,2023-03-12,1247.342209666023,2023-08-11,2023-03-12
172,2019-05-17,2019-08-11,2019,Sedan,8354.526481961784,0.0,2022-08-11,1572.8000896724077,2023-12-01,2022-08-11
173,2019-06-14,2019-10-04,2019,Sedan,7857.107482962521,0.0,2022-10-04,1672.371165660262,2024-05-02,2022-10-04
174,2018-11-30,2019-01-29,2019,Sedan,12809.115657592723,1.0,2022-01-29,1025.8319427548568,2021-11-20,2021-11-20
175,2019-02-06,2020-01-22,2019,Sedan,12772.43252499658,0.0,2023-01-22,1028.7781888284837,2022-11-16,2022-11-16
176,2019-04-17,2019-09-01,2019,Sedan,11069.746268956156,0.0,2022-09-01,1187.0190771083558,2022-12-01,2022-09-01
177,2019-07-28,2020-06-26,2019,Sedan,11472.856007520557,0.0,2023-06-26,1145.3120296625893,2023-08-15,2023-06-26
178,2019-03-07,2019-06-26,2019,Sedan,9472.15675217369,0.0,2022-06-26,1387.223664450507,2023-04-13,2022-06-26
179,2019-02-19,2019-10-23,2019,Sedan,11697.016437903892,0.0,2022-10-23,1123.3633867026256,2022-11-19,2022-10-23
180,2019-05-28,2019-08-09,2019,Sedan,14020.999371997259,0.0,2022-08-09,937.1657220271479,2022-03-03,2022-03-03
181,2019-04-18,2019-07-23,2019,Sedan,10635.321337286849,0.0,2022-07-23,1235.5056874428315,2022-12-10,2022-07-23
182,2018-11-20,2019-05-05,2019,Sedan,12177.45249876855,0.0,2022-05-05,1079.0434207260332,2022-04-18,2022-04-18
183,2018-10-09,2019-06-18,2019,Sedan,10617.032490762585,0.0,2022-06-18,1237.633963297422,2022-11-07,2022-06-18
184,2018-09-03,2019-01-17,2019,Sedan,10328.459260641153,0.0,2022-01-17,1272.2129863137318,2022-07-12,2022-01-17
185,2018-08-04,2019-02-09,2019,Sedan,12165.806259376837,0.0,2022-02-09,1080.0763812815367,2022-01-24,2022-01-24
186,2018-12-23,2019-08-17,2019,Sedan,14094.468928830596,0.0,2022-08-17,932.2806035722135,2022-03-06,2022-03-06
187,2018-09-21,2019-05-25,2019,Sedan,10904.094562036213,0.0,2022-05-25,1205.051911944008,2022-09-11,2022-05-25
188,2019-03-12,2020-01-08,2019,Sedan,8518.920694504679,0.0,2023-01-08,1542.4489170883176,2024-03-29,2023-01-08
189,2019-02-01,2019-06-03,2019,Sedan,8957.26143394484,1.0,2022-06-03,1466.9662258828425,2023-06-09,2022-06-03
190,2018-12-30,2019-04-28,2019,Sedan,11280.529847500546,0.0,2022-04-28,1164.8389018634139,2022-07-06,2022-04-28
191,2018-12-19,2019-10-24,2019,Sedan,9417.389126968395,0.0,2022-10-24,1395.2911813287226,2023-08-19,2022-10-24
192,2019-05-11,2020-03-04,2019,Sedan,12282.82067556286,0.0,2023-03-04,1069.7868467739281,2023-02-07,2023-02-07
193,2018-12-01,2019-10-02,2019,Sedan,9824.100451972448,0.0,2022-10-02,1337.5270401843047,2023-06-01,2022-10-02
194,2019-03-05,2020-01-06,2019,Sedan,8345.698661639048,0.0,2023-01-06,1574.4637486610832,2024-04-28,2023-01-06
195,2018-08-06,2019-03-13,2019,Sedan,12229.35926770397,0.0,2022-03-13,1074.463486791242,2022-02-19,2022-02-19
196,2019-01-08,2019-04-21,2019,Sedan,12244.618269904246,0.0,2022-04-21,1073.124511549412,2022-03-29,2022-03-29
197,2018-10-20,2019-03-02,2019,Sedan,8859.475335130548,0.0,2022-03-02,1483.1578059589888,2023-03-24,2022-03-02
198,2019-06-02,2019-09-22,2019,Sedan,8406.972634246104,1.0,2022-09-22,1562.9883159692636,2024-01-02,2022-09-22
199,2019-03-30,2019-11-20,2019,Sedan,10735.962198268957,0.0,2022-11-20,1223.9238325670208,2023-03-28,2022-11-20
200,2019-04-11,2019-10-23,2019,Sedan,9451.884894824509,0.0,2022-10-23,1390.1989017232913,2023-08-13,2022-10-23
201,2019-01-10,2019-11-11,2019,Sedan,11921.838683099222,0.0,2022-11-11,1102.1789800450565,2022-11-17,2022-11-11
202,2019-05-06,2019-09-25,2019,Sedan,10563.58745005425,0.0,2022-09-25,1243.8956047959368,2023-02-20,2022-09-25
203,2019-02-07,2019-12-28,2019,Sedan,9413.308555439904,0.0,2022-12-28,1395.8960255697193,2023-10-24,2022-12-28
204,2019-06-09,2019-08-19,2019,Sedan,11816.21154381413,0.0,2022-08-19,1112.0315467675325,2022-09-04,2022-08-19
205,2019-05-13,2019-10-25,2019,Sedan,10217.848656091239,0.0,2022-10-25,1285.9849898213904,2023-05-03,2022-10-25
206,2019-07-29,2020-06-23,2019,Sedan,13203.37371830604,0.0,2023-06-23,995.2001874931274,2023-03-15,2023-03-15
207,2019-01-25,2019-09-27,2019,Sedan,11785.797531332006,0.0,2022-09-27,1114.9012160668726,2022-10-16,2022-09-27
208,2019-03-03,2019-07-16,2019,Sedan,12249.116089278641,0.0,2022-07-16,1072.730465139532,2022-06-23,2022-06-23
209,2019-07-01,2020-06-03,2019,Sedan,11650.058469723232,0.0,2023-06-03,1127.8913349790391,2023-07-06,2023-06-03
