vin,purchase_date,nvlw_end_date,n_claims,censor_date,days_to_censor,censor_claim_status,days_to_censor_claim,censor_claim_date
3720,2018-10-25,2021-02-24,0.0,2021-02-24,853,Censor,853,2021-02-24
9646,2018-10-25,2021-10-25,0.0,2021-10-25,1096,Censor,1096,2021-10-25
4640,2018-10-26,2020-06-15,0.0,2020-06-15,598,Censor,598,2020-06-15
1265,2018-10-27,2021-10-27,0.0,2021-10-27,1096,Censor,1096,2021-10-27
1883,2018-10-27,2021-10-24,1.0,2021-10-24,1093,Claim,890,2021-04-04
1883,2018-10-27,2021-10-24,1.0,2021-10-24,1093,Censor,1093,2021-10-24
3349,2018-10-27,2021-05-06,0.0,2021-05-06,922,Censor,922,2021-05-06
6875,2018-10-27,2021-10-27,0.0,2021-10-27,1096,Censor,1096,2021-10-27
7002,2018-10-27,2020-10-31,0.0,2020-10-31,735,Censor,735,2020-10-31
8129,2018-10-27,2021-10-27,0.0,2021-10-27,1096,Censor,1096,2021-10-27
5373,2018-10-28,2021-05-22,0.0,2021-05-22,937,Censor,937,2021-05-22
788,2018-10-31,2021-10-31,0.0,2021-10-31,1096,Censor,1096,2021-10-31
2831,2018-10-31,2021-05-15,0.0,2021-05-15,927,Censor,927,2021-05-15
2954,2018-10-31,2020-06-22,0.0,2020-06-22,600,Censor,600,2020-06-22
3413,2018-10-31,2021-06-12,0.0,2021-06-12,955,Censor,955,2021-06-12
5000,2018-10-31,2021-06-29,0.0,2021-06-29,972,Censor,972,2021-06-29
2071,2018-11-01,2020-12-10,0.0,2020-12-10,770,Censor,770,2020-12-10
2997,2018-11-01,2020-09-18,0.0,2020-09-18,687,Censor,687,2020-09-18
5516,2018-11-01,2021-07-28,0.0,2021-07-28,1000,Censor,1000,2021-07-28
3116,2018-11-02,2020-11-17,2.0,2020-11-17,746,Claim,132,2019-03-14
3116,2018-11-02,2020-11-17,2.0,2020-11-17,746,Claim,381,2019-11-18
3116,2018-11-02,2020-11-17,2.0,2020-11-17,746,Censor,746,2020-11-17
4240,2018-11-02,2020-08-15,1.0,2020-08-15,652,Claim,500,2020-03-16
4240,2018-11-02,2020-08-15,1.0,2020-08-15,652,Censor,652,2020-08-15
7842,2018-11-02,2021-07-14,0.0,2021-07-14,985,Censor,985,2021-07-14
1417,2018-11-03,2021-04-04,1.0,2021-04-04,883,Claim,651,2020-08-15
1417,2018-11-03,2021-04-04,1.0,2021-04-04,883,Censor,883,2021-04-04
3354,2018-11-03,2021-03-20,0.0,2021-03-20,868,Censor,868,2021-03-20
3578,2018-11-04,2021-11-04,0.0,2021-11-04,1096,Censor,1096,2021-11-04
5971,2018-11-04,2020-07-03,1.0,2020-07-03,607,Claim,391,2019-11-30
5971,2018-11-04,2020-07-03,1.0,2020-07-03,607,Censor,607,2020-07-03
6783,2018-11-04,2021-06-06,0.0,2021-06-06,945,Censor,945,2021-06-06
21,2018-11-05,2021-11-05,0.0,2021-11-05,1096,Censor,1096,2021-11-05
4069,2018-11-05,2020-04-10,1.0,2020-04-10,522,Claim,463,2020-02-11
4069,2018-11-05,2020-04-10,1.0,2020-04-10,522,Censor,522,2020-04-10
1418,2018-11-06,2021-07-15,1.0,2021-07-15,982,Claim,852,2021-03-07
1418,2018-11-06,2021-07-15,1.0,2021-07-15,982,Censor,982,2021-07-15
2450,2018-11-06,2020-09-20,1.0,2020-09-20,684,Claim,325,2019-09-27
2450,2018-11-06,2020-09-20,1.0,2020-09-20,684,Censor,684,2020-09-20
3350,2018-11-06,2021-03-26,0.0,2021-03-26,871,Censor,871,2021-03-26
4358,2018-11-06,2019-11-25,1.0,2019-11-25,384,Claim,262,2019-07-26
4358,2018-11-06,2019-11-25,1.0,2019-11-25,384,Censor,384,2019-11-25
8066,2018-11-06,2021-11-06,0.0,2021-11-06,1096,Censor,1096,2021-11-06
8958,2018-11-06,2021-11-06,0.0,2021-11-06,1096,Censor,1096,2021-11-06
9085,2018-11-06,2021-11-06,0.0,2021-11-06,1096,Censor,1096,2021-11-06
2338,2018-11-07,2020-07-22,0.0,2020-07-22,623,Censor,623,2020-07-22
1348,2018-11-08,2021-11-08,0.0,2021-11-08,1096,Censor,1096,2021-11-08
3931,2018-11-09,2021-07-05,0.0,2021-07-05,969,Censor,969,2021-07-05
8319,2018-11-09,2021-11-09,0.0,2021-11-09,1096,Censor,1096,2021-11-09
8662,2018-11-09,2021-11-09,1.0,2021-11-09,1096,Claim,384,2019-11-28
8662,2018-11-09,2021-11-09,1.0,2021-11-09,1096,Censor,1096,2021-11-09
400,2018-11-11,2021-08-16,0.0,2021-08-16,1009,Censor,1009,2021-08-16
3141,2018-11-11,2021-07-07,0.0,2021-07-07,969,Censor,969,2021-07-07
4889,2018-11-11,2019-09-21,0.0,2019-09-21,314,Censor,314,2019-09-21
5266,2018-11-11,2020-11-30,0.0,2020-11-30,750,Censor,750,2020-11-30
5961,2018-11-11,2021-01-30,0.0,2021-01-30,811,Censor,811,2021-01-30
9535,2018-11-11,2021-11-11,0.0,2021-11-11,1096,Censor,1096,2021-11-11
4735,2018-11-12,2019-12-25,0.0,2019-12-25,408,Censor,408,2019-12-25
145,2018-11-13,2021-11-13,1.0,2021-11-13,1096,Claim,499,2020-03-26
145,2018-11-13,2021-11-13,1.0,2021-11-13,1096,Censor,1096,2021-11-13
3266,2018-11-13,2020-12-03,0.0,2020-12-03,751,Censor,751,2020-12-03
4955,2018-11-13,2019-08-04,1.0,2019-08-04,264,Claim,230,2019-07-01
4955,2018-11-13,2019-08-04,1.0,2019-08-04,264,Censor,264,2019-08-04
6123,2018-11-13,2021-03-23,0.0,2021-03-23,861,Censor,861,2021-03-23
7522,2018-11-13,2021-10-03,2.0,2021-10-03,1055,Claim,284,2019-08-24
7522,2018-11-13,2021-10-03,2.0,2021-10-03,1055,Claim,1026,2021-09-04
7522,2018-11-13,2021-10-03,2.0,2021-10-03,1055,Censor,1055,2021-10-03
8473,2018-11-13,2021-11-13,0.0,2021-11-13,1096,Censor,1096,2021-11-13
6403,2018-11-14,2021-11-14,0.0,2021-11-14,1096,Censor,1096,2021-11-14
6471,2018-11-14,2021-03-17,0.0,2021-03-17,854,Censor,854,2021-03-17
7123,2018-11-14,2021-08-22,0.0,2021-08-22,1012,Censor,1012,2021-08-22
1035,2018-11-15,2021-01-11,0.0,2021-01-11,788,Censor,788,2021-01-11
1979,2018-11-15,2020-11-18,0.0,2020-11-18,734,Censor,734,2020-11-18
7605,2018-11-15,2021-06-09,0.0,2021-06-09,937,Censor,937,2021-06-09
8567,2018-11-15,2021-09-25,0.0,2021-09-25,1045,Censor,1045,2021-09-25
1722,2018-11-16,2021-02-05,0.0,2021-02-05,812,Censor,812,2021-02-05
2334,2018-11-16,2020-06-15,0.0,2020-06-15,577,Censor,577,2020-06-15
8316,2018-11-16,2021-11-16,0.0,2021-11-16,1096,Censor,1096,2021-11-16
520,2018-11-17,2021-07-14,0.0,2021-07-14,970,Censor,970,2021-07-14
2981,2018-11-17,2020-10-07,0.0,2020-10-07,690,Censor,690,2020-10-07
3754,2018-11-17,2021-11-17,0.0,2021-11-17,1096,Censor,1096,2021-11-17
7161,2018-11-17,2021-11-17,0.0,2021-11-17,1096,Censor,1096,2021-11-17
8481,2018-11-17,2021-11-17,0.0,2021-11-17,1096,Censor,1096,2021-11-17
271,2018-11-18,2021-11-18,0.0,2021-11-18,1096,Censor,1096,2021-11-18
660,2018-11-18,2021-11-18,0.0,2021-11-18,1096,Censor,1096,2021-11-18
710,2018-11-18,2021-11-18,1.0,2021-11-18,1096,Claim,559,2020-05-30
710,2018-11-18,2021-11-18,1.0,2021-11-18,1096,Censor,1096,2021-11-18
3762,2018-11-18,2021-11-18,0.0,2021-11-18,1096,Censor,1096,2021-11-18
4782,2018-11-18,2020-07-13,2.0,2020-07-13,603,Claim,243,2019-07-19
4782,2018-11-18,2020-07-13,2.0,2020-07-13,603,Claim,372,2019-11-25
4782,2018-11-18,2020-07-13,2.0,2020-07-13,603,Censor,603,2020-07-13
9379,2018-11-18,2021-11-18,0.0,2021-11-18,1096,Censor,1096,2021-11-18
9956,2018-11-18,2021-11-18,0.0,2021-11-18,1096,Censor,1096,2021-11-18
9972,2018-11-18,2021-11-18,0.0,2021-11-18,1096,Censor,1096,2021-11-18
860,2018-11-19,2021-11-19,0.0,2021-11-19,1096,Censor,1096,2021-11-19
1084,2018-11-19,2021-01-11,0.0,2021-01-11,784,Censor,784,2021-01-11
3749,2018-11-19,2021-11-19,0.0,2021-11-19,1096,Censor,1096,2021-11-19
4882,2018-11-19,2020-07-16,0.0,2020-07-16,605,Censor,605,2020-07-16
5154,2018-11-19,2021-03-03,0.0,2021-03-03,835,Censor,835,2021-03-03
9548,2018-11-19,2021-11-19,0.0,2021-11-19,1096,Censor,1096,2021-11-19
9,2018-11-20,2021-11-20,0.0,2021-11-20,1096,Censor,1096,2021-11-20
12,2018-11-20,2021-11-20,0.0,2021-11-20,1096,Censor,1096,2021-11-20
233,2018-11-20,2021-10-17,0.0,2021-10-17,1062,Censor,1062,2021-10-17
255,2018-11-20,2021-11-20,0.0,2021-11-20,1096,Censor,1096,2021-11-20
737,2018-11-20,2021-11-20,0.0,2021-11-20,1096,Censor,1096,2021-11-20
1935,2018-11-20,2021-02-05,0.0,2021-02-05,808,Censor,808,2021-02-05
2309,2018-11-21,2020-12-12,1.0,2020-12-12,752,Claim,212,2019-06-21
2309,2018-11-21,2020-12-12,1.0,2020-12-12,752,Censor,752,2020-12-12
4703,2018-11-21,2020-03-21,0.0,2020-03-21,486,Censor,486,2020-03-21
7237,2018-11-21,2021-11-21,0.0,2021-11-21,1096,Censor,1096,2021-11-21
8429,2018-11-21,2021-11-21,0.0,2021-11-21,1096,Censor,1096,2021-11-21
3858,2018-11-22,2020-08-11,0.0,2020-08-11,628,Censor,628,2020-08-11
7544,2018-11-22,2021-09-03,0.0,2021-09-03,1016,Censor,1016,2021-09-03
1795,2018-11-23,2021-11-23,0.0,2021-11-23,1096,Censor,1096,2021-11-23
4986,2018-11-23,2019-10-23,0.0,2019-10-23,334,Censor,334,2019-10-23
6955,2018-11-23,2021-07-08,0.0,2021-07-08,958,Censor,958,2021-07-08
7039,2018-11-23,2021-11-23,0.0,2021-11-23,1096,Censor,1096,2021-11-23
7646,2018-11-23,2021-11-23,0.0,2021-11-23,1096,Censor,1096,2021-11-23
9471,2018-11-23,2021-11-23,0.0,2021-11-23,1096,Censor,1096,2021-11-23
469,2018-11-24,2021-11-24,1.0,2021-11-24,1096,Claim,430,2020-01-28
469,2018-11-24,2021-11-24,1.0,2021-11-24,1096,Censor,1096,2021-11-24
2102,2018-11-24,2020-11-08,2.0,2020-11-08,715,Claim,399,2019-12-28
2102,2018-11-24,2020-11-08,2.0,2020-11-08,715,Claim,437,2020-02-04
2102,2018-11-24,2020-11-08,2.0,2020-11-08,715,Censor,715,2020-11-08
5881,2018-11-24,2020-10-18,0.0,2020-10-18,694,Censor,694,2020-10-18
5918,2018-11-24,2021-02-01,0.0,2021-02-01,800,Censor,800,2021-02-01
7373,2018-11-24,2021-02-06,0.0,2021-02-06,805,Censor,805,2021-02-06
7849,2018-11-24,2021-11-24,0.0,2021-11-24,1096,Censor,1096,2021-11-24
9275,2018-11-24,2021-11-24,0.0,2021-11-24,1096,Censor,1096,2021-11-24
1219,2018-11-25,2021-03-20,1.0,2021-03-20,846,Claim,31,2018-12-26
1219,2018-11-25,2021-03-20,1.0,2021-03-20,846,Censor,846,2021-03-20
4738,2018-11-25,2020-03-11,1.0,2020-03-11,472,Claim,100,2019-03-05
4738,2018-11-25,2020-03-11,1.0,2020-03-11,472,Censor,472,2020-03-11
4664,2018-11-26,2020-08-18,1.0,2020-08-18,631,Claim,596,2020-07-14
4664,2018-11-26,2020-08-18,1.0,2020-08-18,631,Censor,631,2020-08-18
4913,2018-11-26,2019-11-03,0.0,2019-11-03,342,Censor,342,2019-11-03
7319,2018-11-26,2021-09-09,0.0,2021-09-09,1018,Censor,1018,2021-09-09
7510,2018-11-26,2021-07-31,1.0,2021-07-31,978,Claim,118,2019-03-24
7510,2018-11-26,2021-07-31,1.0,2021-07-31,978,Censor,978,2021-07-31
691,2018-11-27,2021-11-18,1.0,2021-11-18,1087,Claim,251,2019-08-05
691,2018-11-27,2021-11-18,1.0,2021-11-18,1087,Censor,1087,2021-11-18
1799,2018-11-27,2021-07-09,0.0,2021-07-09,955,Censor,955,2021-07-09
3286,2018-11-27,2021-05-10,0.0,2021-05-10,895,Censor,895,2021-05-10
3511,2018-11-27,2021-05-14,0.0,2021-05-14,899,Censor,899,2021-05-14
4306,2018-11-27,2020-01-10,0.0,2020-01-10,409,Censor,409,2020-01-10
5206,2018-11-27,2021-02-07,0.0,2021-02-07,803,Censor,803,2021-02-07
6286,2018-11-27,2021-11-24,0.0,2021-11-24,1093,Censor,1093,2021-11-24
267,2018-11-28,2021-11-28,0.0,2021-11-28,1096,Censor,1096,2021-11-28
948,2018-11-28,2021-10-30,0.0,2021-10-30,1067,Censor,1067,2021-10-30
4413,2018-11-28,2020-08-20,1.0,2020-08-20,631,Claim,581,2020-07-01
4413,2018-11-28,2020-08-20,1.0,2020-08-20,631,Censor,631,2020-08-20
4513,2018-11-28,2019-11-09,0.0,2019-11-09,346,Censor,346,2019-11-09
5268,2018-11-28,2021-11-28,0.0,2021-11-28,1096,Censor,1096,2021-11-28
3254,2018-11-29,2021-07-30,1.0,2021-07-30,974,Claim,281,2019-09-06
3254,2018-11-29,2021-07-30,1.0,2021-07-30,974,Censor,974,2021-07-30
3306,2018-11-29,2020-07-22,0.0,2020-07-22,601,Censor,601,2020-07-22
6116,2018-11-29,2021-08-13,0.0,2021-08-13,988,Censor,988,2021-08-13
8589,2018-11-29,2021-11-29,0.0,2021-11-29,1096,Censor,1096,2021-11-29
5936,2018-11-30,2021-01-28,1.0,2021-01-28,790,Claim,414,2020-01-18
5936,2018-11-30,2021-01-28,1.0,2021-01-28,790,Censor,790,2021-01-28
7821,2018-11-30,2021-04-09,0.0,2021-04-09,861,Censor,861,2021-04-09
8243,2018-11-30,2021-11-30,0.0,2021-11-30,1096,Censor,1096,2021-11-30
8741,2018-11-30,2021-11-30,0.0,2021-11-30,1096,Censor,1096,2021-11-30
3010,2018-12-01,2021-07-10,0.0,2021-07-10,952,Censor,952,2021-07-10
4371,2018-12-01,2020-04-05,0.0,2020-04-05,491,Censor,491,2020-04-05
7909,2018-12-01,2021-08-08,0.0,2021-08-08,981,Censor,981,2021-08-08
8857,2018-12-01,2021-12-01,1.0,2021-12-01,1096,Claim,711,2020-11-11
8857,2018-12-01,2021-12-01,1.0,2021-12-01,1096,Censor,1096,2021-12-01
9791,2018-12-01,2021-12-01,0.0,2021-12-01,1096,Censor,1096,2021-12-01
3959,2018-12-02,2021-10-23,0.0,2021-10-23,1056,Censor,1056,2021-10-23
8269,2018-12-02,2021-12-02,0.0,2021-12-02,1096,Censor,1096,2021-12-02
9204,2018-12-02,2021-12-02,0.0,2021-12-02,1096,Censor,1096,2021-12-02
170,2018-12-03,2021-12-03,0.0,2021-12-03,1096,Censor,1096,2021-12-03
2601,2018-12-03,2021-05-13,0.0,2021-05-13,892,Censor,892,2021-05-13
2782,2018-12-03,2020-05-01,0.0,2020-05-01,515,Censor,515,2020-05-01
7580,2018-12-03,2021-12-03,0.0,2021-12-03,1096,Censor,1096,2021-12-03
1045,2018-12-04,2021-11-28,0.0,2021-11-28,1090,Censor,1090,2021-11-28
1835,2018-12-04,2021-03-09,0.0,2021-03-09,826,Censor,826,2021-03-09
2182,2018-12-04,2020-09-03,1.0,2020-09-03,639,Claim,288,2019-09-18
2182,2018-12-04,2020-09-03,1.0,2020-09-03,639,Censor,639,2020-09-03
4022,2018-12-04,2020-05-14,0.0,2020-05-14,527,Censor,527,2020-05-14
6261,2018-12-04,2020-11-15,0.0,2020-11-15,712,Censor,712,2020-11-15
4350,2018-12-05,2019-12-27,0.0,2019-12-27,387,Censor,387,2019-12-27
5758,2018-12-05,2020-12-08,0.0,2020-12-08,734,Censor,734,2020-12-08
9623,2018-12-05,2021-12-05,0.0,2021-12-05,1096,Censor,1096,2021-12-05
1307,2018-12-06,2021-12-06,0.0,2021-12-06,1096,Censor,1096,2021-12-06
1986,2018-12-06,2021-04-15,0.0,2021-04-15,861,Censor,861,2021-04-15
5258,2018-12-06,2021-12-06,0.0,2021-12-06,1096,Censor,1096,2021-12-06
5299,2018-12-06,2020-07-30,0.0,2020-07-30,602,Censor,602,2020-07-30
6071,2018-12-06,2021-12-06,0.0,2021-12-06,1096,Censor,1096,2021-12-06
1443,2018-12-07,2021-11-30,0.0,2021-11-30,1089,Censor,1089,2021-11-30
3148,2018-12-07,2020-12-14,0.0,2020-12-14,738,Censor,738,2020-12-14
5261,2018-12-07,2021-06-15,0.0,2021-06-15,921,Censor,921,2021-06-15
9848,2018-12-07,2021-12-07,0.0,2021-12-07,1096,Censor,1096,2021-12-07
5425,2018-12-08,2021-12-08,0.0,2021-12-08,1096,Censor,1096,2021-12-08
5818,2018-12-08,2021-04-21,0.0,2021-04-21,865,Censor,865,2021-04-21
6307,2018-12-08,2021-11-05,2.0,2021-11-05,1063,Claim,290,2019-09-24
6307,2018-12-08,2021-11-05,2.0,2021-11-05,1063,Claim,564,2020-06-24
6307,2018-12-08,2021-11-05,2.0,2021-11-05,1063,Censor,1063,2021-11-05
7922,2018-12-08,2020-12-22,0.0,2020-12-22,745,Censor,745,2020-12-22
8077,2018-12-08,2021-12-08,0.0,2021-12-08,1096,Censor,1096,2021-12-08
9351,2018-12-08,2021-12-08,0.0,2021-12-08,1096,Censor,1096,2021-12-08
9463,2018-12-08,2021-12-08,0.0,2021-12-08,1096,Censor,1096,2021-12-08
9612,2018-12-08,2021-12-08,0.0,2021-12-08,1096,Censor,1096,2021-12-08
4345,2018-12-09,2020-05-24,0.0,2020-05-24,532,Censor,532,2020-05-24
4820,2018-12-09,2020-01-07,0.0,2020-01-07,394,Censor,394,2020-01-07
6711,2018-12-09,2021-05-20,1.0,2021-05-20,893,Claim,587,2020-07-18
6711,2018-12-09,2021-05-20,1.0,2021-05-20,893,Censor,893,2021-05-20
7454,2018-12-09,2021-05-12,0.0,2021-05-12,885,Censor,885,2021-05-12
9723,2018-12-09,2021-12-09,0.0,2021-12-09,1096,Censor,1096,2021-12-09
952,2018-12-10,2021-12-10,0.0,2021-12-10,1096,Censor,1096,2021-12-10
1843,2018-12-10,2021-10-27,0.0,2021-10-27,1052,Censor,1052,2021-10-27
5334,2018-12-10,2020-11-27,0.0,2020-11-27,718,Censor,718,2020-11-27
5581,2018-12-10,2020-11-15,0.0,2020-11-15,706,Censor,706,2020-11-15
6337,2018-12-10,2021-07-30,1.0,2021-07-30,963,Claim,634,2020-09-04
6337,2018-12-10,2021-07-30,1.0,2021-07-30,963,Censor,963,2021-07-30
7348,2018-12-10,2021-12-10,0.0,2021-12-10,1096,Censor,1096,2021-12-10
8659,2018-12-10,2021-12-10,0.0,2021-12-10,1096,Censor,1096,2021-12-10
9851,2018-12-10,2021-12-10,0.0,2021-12-10,1096,Censor,1096,2021-12-10
331,2018-12-11,2021-05-24,0.0,2021-05-24,895,Censor,895,2021-05-24
1349,2018-12-11,2021-09-15,0.0,2021-09-15,1009,Censor,1009,2021-09-15
1596,2018-12-11,2021-09-19,0.0,2021-09-19,1013,Censor,1013,2021-09-19
2213,2018-12-11,2020-07-18,0.0,2020-07-18,585,Censor,585,2020-07-18
5632,2018-12-11,2021-10-30,0.0,2021-10-30,1054,Censor,1054,2021-10-30
6417,2018-12-11,2021-06-28,0.0,2021-06-28,930,Censor,930,2021-06-28
6789,2018-12-11,2021-07-26,0.0,2021-07-26,958,Censor,958,2021-07-26
7662,2018-12-11,2021-06-07,0.0,2021-06-07,909,Censor,909,2021-06-07
7720,2018-12-11,2021-12-11,0.0,2021-12-11,1096,Censor,1096,2021-12-11
2325,2018-12-12,2020-11-14,0.0,2020-11-14,703,Censor,703,2020-11-14
6125,2018-12-12,2021-05-09,0.0,2021-05-09,879,Censor,879,2021-05-09
7064,2018-12-12,2021-12-12,0.0,2021-12-12,1096,Censor,1096,2021-12-12
8102,2018-12-12,2021-12-12,0.0,2021-12-12,1096,Censor,1096,2021-12-12
8424,2018-12-12,2021-12-12,0.0,2021-12-12,1096,Censor,1096,2021-12-12
8823,2018-12-12,2021-12-12,0.0,2021-12-12,1096,Censor,1096,2021-12-12
9459,2018-12-12,2021-12-12,0.0,2021-12-12,1096,Censor,1096,2021-12-12
9875,2018-12-12,2021-12-12,0.0,2021-12-12,1096,Censor,1096,2021-12-12
644,2018-12-13,2021-12-13,0.0,2021-12-13,1096,Censor,1096,2021-12-13
1809,2018-12-13,2021-12-13,0.0,2021-12-13,1096,Censor,1096,2021-12-13
1864,2018-12-13,2021-09-18,0.0,2021-09-18,1010,Censor,1010,2021-09-18
3525,2018-12-13,2020-09-07,0.0,2020-09-07,634,Censor,634,2020-09-07
5239,2018-12-13,2021-08-24,0.0,2021-08-24,985,Censor,985,2021-08-24
7955,2018-12-13,2021-08-06,0.0,2021-08-06,967,Censor,967,2021-08-06
7976,2018-12-13,2021-10-08,0.0,2021-10-08,1030,Censor,1030,2021-10-08
8365,2018-12-13,2021-12-13,0.0,2021-12-13,1096,Censor,1096,2021-12-13
771,2018-12-14,2021-12-14,0.0,2021-12-14,1096,Censor,1096,2021-12-14
5774,2018-12-14,2020-11-24,0.0,2020-11-24,711,Censor,711,2020-11-24
6980,2018-12-14,2021-04-25,0.0,2021-04-25,863,Censor,863,2021-04-25
9069,2018-12-14,2021-12-14,0.0,2021-12-14,1096,Censor,1096,2021-12-14
584,2018-12-15,2021-12-15,0.0,2021-12-15,1096,Censor,1096,2021-12-15
1909,2018-12-15,2021-04-23,0.0,2021-04-23,860,Censor,860,2021-04-23
2524,2018-12-15,2021-12-15,0.0,2021-12-15,1096,Censor,1096,2021-12-15
3901,2018-12-15,2020-12-07,0.0,2020-12-07,723,Censor,723,2020-12-07
4667,2018-12-15,2019-12-07,0.0,2019-12-07,357,Censor,357,2019-12-07
4935,2018-12-15,2020-02-21,0.0,2020-02-21,433,Censor,433,2020-02-21
5705,2018-12-15,2021-12-02,0.0,2021-12-02,1083,Censor,1083,2021-12-02
9609,2018-12-15,2021-12-15,0.0,2021-12-15,1096,Censor,1096,2021-12-15
32,2018-12-16,2021-12-16,0.0,2021-12-16,1096,Censor,1096,2021-12-16
1166,2018-12-16,2021-12-16,0.0,2021-12-16,1096,Censor,1096,2021-12-16
1222,2018-12-16,2021-12-16,0.0,2021-12-16,1096,Censor,1096,2021-12-16
2808,2018-12-16,2020-12-07,0.0,2020-12-07,722,Censor,722,2020-12-07
5264,2018-12-16,2021-05-20,1.0,2021-05-20,886,Claim,60,2019-02-14
5264,2018-12-16,2021-05-20,1.0,2021-05-20,886,Censor,886,2021-05-20
6057,2018-12-16,2020-12-09,0.0,2020-12-09,724,Censor,724,2020-12-09
454,2018-12-17,2021-09-24,0.0,2021-09-24,1012,Censor,1012,2021-09-24
894,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
1176,2018-12-18,2021-07-04,0.0,2021-07-04,929,Censor,929,2021-07-04
2403,2018-12-18,2021-01-31,1.0,2021-01-31,775,Claim,241,2019-08-16
2403,2018-12-18,2021-01-31,1.0,2021-01-31,775,Censor,775,2021-01-31
2573,2018-12-18,2020-10-09,1.0,2020-10-09,661,Claim,481,2020-04-12
2573,2018-12-18,2020-10-09,1.0,2020-10-09,661,Censor,661,2020-10-09
3502,2018-12-18,2021-06-14,0.0,2021-06-14,909,Censor,909,2021-06-14
7306,2018-12-18,2021-05-22,0.0,2021-05-22,886,Censor,886,2021-05-22
7475,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
8428,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
8639,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
9845,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
9867,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
9882,2018-12-18,2021-12-18,0.0,2021-12-18,1096,Censor,1096,2021-12-18
1066,2018-12-19,2021-06-24,0.0,2021-06-24,918,Censor,918,2021-06-24
2945,2018-12-19,2020-08-22,2.0,2020-08-22,612,Claim,244,2019-08-20
2945,2018-12-19,2020-08-22,2.0,2020-08-22,612,Claim,542,2020-06-13
2945,2018-12-19,2020-08-22,2.0,2020-08-22,612,Censor,612,2020-08-22
3157,2018-12-19,2020-08-11,1.0,2020-08-11,601,Claim,29,2019-01-17
3157,2018-12-19,2020-08-11,1.0,2020-08-11,601,Censor,601,2020-08-11
3409,2018-12-19,2021-01-20,0.0,2021-01-20,763,Censor,763,2021-01-20
3515,2018-12-19,2021-12-19,1.0,2021-12-19,1096,Claim,162,2019-05-30
