vin,purchase_date,nvlw_end_date,n_fails,censor_date,days_purchase_to_censor,censor_fail_status,days_purchase_to_censor_fail,censor_fail_date,vin_event_number,days_since_event
3550,2018-10-30,2021-06-09,1.0,2021-06-09,953,F,39,2018-12-08,1,39
3550,2018-10-30,2021-06-09,1.0,2021-06-09,953,C,953,2021-06-09,2,914
5227,2018-10-30,2020-12-23,0.0,2020-12-23,785,C,785,2020-12-23,1,785
7132,2018-10-30,2021-10-30,2.0,2021-10-30,1096,F,157,2019-04-05,1,157
7132,2018-10-30,2021-10-30,2.0,2021-10-30,1096,F,444,2020-01-17,2,287
7132,2018-10-30,2021-10-30,2.0,2021-10-30,1096,C,1096,2021-10-30,3,652
252,2018-10-31,2021-10-31,1.0,2021-10-31,1096,F,556,2020-05-09,1,556
252,2018-10-31,2021-10-31,1.0,2021-10-31,1096,C,1096,2021-10-31,2,540
3329,2018-10-31,2020-08-09,0.0,2020-08-09,648,C,648,2020-08-09,1,648
3774,2018-10-31,2021-06-09,0.0,2021-06-09,952,C,952,2021-06-09,1,952
5468,2018-10-31,2021-10-31,0.0,2021-10-31,1096,C,1096,2021-10-31,1,1096
7062,2018-10-31,2021-10-31,0.0,2021-10-31,1096,C,1096,2021-10-31,1,1096
7994,2018-10-31,2021-10-31,0.0,2021-10-31,1096,C,1096,2021-10-31,1,1096
8425,2018-10-31,2021-10-31,0.0,2021-10-31,1096,C,1096,2021-10-31,1,1096
6471,2018-11-01,2020-12-05,0.0,2020-12-05,765,C,765,2020-12-05,1,765
8180,2018-11-01,2021-11-01,0.0,2021-11-01,1096,C,1096,2021-11-01,1,1096
9463,2018-11-01,2021-11-01,0.0,2021-11-01,1096,C,1096,2021-11-01,1,1096
1105,2018-11-02,2021-11-02,1.0,2021-11-02,1096,F,804,2021-01-14,1,804
1105,2018-11-02,2021-11-02,1.0,2021-11-02,1096,C,1096,2021-11-02,2,292
2242,2018-11-02,2020-10-19,0.0,2020-10-19,717,C,717,2020-10-19,1,717
3508,2018-11-02,2021-01-12,0.0,2021-01-12,802,C,802,2021-01-12,1,802
4199,2018-11-02,2020-06-26,2.0,2020-06-26,602,F,136,2019-03-18,1,136
4199,2018-11-02,2020-06-26,2.0,2020-06-26,602,F,482,2020-02-27,2,346
4199,2018-11-02,2020-06-26,2.0,2020-06-26,602,C,602,2020-06-26,3,120
762,2018-11-03,2021-11-03,0.0,2021-11-03,1096,C,1096,2021-11-03,1,1096
3911,2018-11-03,2021-11-03,0.0,2021-11-03,1096,C,1096,2021-11-03,1,1096
4097,2018-11-03,2020-05-17,0.0,2020-05-17,561,C,561,2020-05-17,1,561
8662,2018-11-04,2021-11-04,0.0,2021-11-04,1096,C,1096,2021-11-04,1,1096
1371,2018-11-05,2021-08-24,0.0,2021-08-24,1023,C,1023,2021-08-24,1,1023
2777,2018-11-05,2020-07-19,1.0,2020-07-19,622,F,307,2019-09-08,1,307
2777,2018-11-05,2020-07-19,1.0,2020-07-19,622,C,622,2020-07-19,2,315
5483,2018-11-05,2021-08-12,0.0,2021-08-12,1011,C,1011,2021-08-12,1,1011
5805,2018-11-05,2021-08-04,0.0,2021-08-04,1003,C,1003,2021-08-04,1,1003
2313,2018-11-06,2020-11-07,0.0,2020-11-07,732,C,732,2020-11-07,1,732
5744,2018-11-06,2021-05-11,0.0,2021-05-11,917,C,917,2021-05-11,1,917
8756,2018-11-07,2021-11-07,0.0,2021-11-07,1096,C,1096,2021-11-07,1,1096
9038,2018-11-07,2021-11-07,0.0,2021-11-07,1096,C,1096,2021-11-07,1,1096
9956,2018-11-07,2021-11-07,0.0,2021-11-07,1096,C,1096,2021-11-07,1,1096
944,2018-11-08,2021-07-07,0.0,2021-07-07,972,C,972,2021-07-07,1,972
3141,2018-11-08,2020-12-18,0.0,2020-12-18,771,C,771,2020-12-18,1,771
6355,2018-11-08,2021-11-08,0.0,2021-11-08,1096,C,1096,2021-11-08,1,1096
8804,2018-11-08,2021-11-08,0.0,2021-11-08,1096,C,1096,2021-11-08,1,1096
3800,2018-11-09,2020-11-05,0.0,2020-11-05,727,C,727,2020-11-05,1,727
6360,2018-11-09,2021-05-15,0.0,2021-05-15,918,C,918,2021-05-15,1,918
164,2018-11-10,2021-09-01,0.0,2021-09-01,1026,C,1026,2021-09-01,1,1026
1265,2018-11-10,2021-03-28,0.0,2021-03-28,869,C,869,2021-03-28,1,869
3536,2018-11-10,2020-06-09,1.0,2020-06-09,577,F,250,2019-07-18,1,250
3536,2018-11-10,2020-06-09,1.0,2020-06-09,577,C,577,2020-06-09,2,327
4297,2018-11-10,2019-11-24,1.0,2019-11-24,379,F,341,2019-10-17,1,341
4297,2018-11-10,2019-11-24,1.0,2019-11-24,379,C,379,2019-11-24,2,38
4334,2018-11-10,2020-03-03,0.0,2020-03-03,479,C,479,2020-03-03,1,479
4789,2018-11-10,2020-02-14,0.0,2020-02-14,461,C,461,2020-02-14,1,461
8077,2018-11-10,2021-11-10,0.0,2021-11-10,1096,C,1096,2021-11-10,1,1096
9745,2018-11-10,2021-11-10,0.0,2021-11-10,1096,C,1096,2021-11-10,1,1096
919,2018-11-11,2021-11-11,0.0,2021-11-11,1096,C,1096,2021-11-11,1,1096
2808,2018-11-11,2020-06-13,0.0,2020-06-13,580,C,580,2020-06-13,1,580
8391,2018-11-11,2021-11-11,0.0,2021-11-11,1096,C,1096,2021-11-11,1,1096
9067,2018-11-11,2021-11-11,0.0,2021-11-11,1096,C,1096,2021-11-11,1,1096
9548,2018-11-11,2021-11-11,0.0,2021-11-11,1096,C,1096,2021-11-11,1,1096
991,2018-11-12,2021-02-20,0.0,2021-02-20,831,C,831,2021-02-20,1,831
7243,2018-11-12,2020-12-13,0.0,2020-12-13,762,C,762,2020-12-13,1,762
442,2018-11-13,2021-11-13,0.0,2021-11-13,1096,C,1096,2021-11-13,1,1096
2278,2018-11-13,2020-05-26,0.0,2020-05-26,560,C,560,2020-05-26,1,560
9439,2018-11-13,2021-11-13,0.0,2021-11-13,1096,C,1096,2021-11-13,1,1096
717,2018-11-14,2021-11-14,0.0,2021-11-14,1096,C,1096,2021-11-14,1,1096
2108,2018-11-14,2020-03-22,0.0,2020-03-22,494,C,494,2020-03-22,1,494
5191,2018-11-14,2021-03-21,0.0,2021-03-21,858,C,858,2021-03-21,1,858
8140,2018-11-14,2021-11-14,0.0,2021-11-14,1096,C,1096,2021-11-14,1,1096
1228,2018-11-15,2021-09-25,0.0,2021-09-25,1045,C,1045,2021-09-25,1,1045
2771,2018-11-15,2020-11-04,0.0,2020-11-04,720,C,720,2020-11-04,1,720
4358,2018-11-15,2020-06-17,1.0,2020-06-17,580,F,216,2019-06-19,1,216
4358,2018-11-15,2020-06-17,1.0,2020-06-17,580,C,580,2020-06-17,2,364
5353,2018-11-15,2021-09-17,0.0,2021-09-17,1037,C,1037,2021-09-17,1,1037
6632,2018-11-15,2021-04-20,0.0,2021-04-20,887,C,887,2021-04-20,1,887
8693,2018-11-15,2021-11-15,0.0,2021-11-15,1096,C,1096,2021-11-15,1,1096
9032,2018-11-15,2021-11-15,0.0,2021-11-15,1096,C,1096,2021-11-15,1,1096
1519,2018-11-16,2021-04-14,0.0,2021-04-14,880,C,880,2021-04-14,1,880
2632,2018-11-16,2020-09-30,1.0,2020-09-30,684,F,512,2020-04-11,1,512
2632,2018-11-16,2020-09-30,1.0,2020-09-30,684,C,684,2020-09-30,2,172
2976,2018-11-16,2020-07-15,1.0,2020-07-15,607,F,81,2019-02-05,1,81
2976,2018-11-16,2020-07-15,1.0,2020-07-15,607,C,607,2020-07-15,2,526
4022,2018-11-16,2019-11-01,0.0,2019-11-01,350,C,350,2019-11-01,1,350
5122,2018-11-16,2021-01-29,0.0,2021-01-29,805,C,805,2021-01-29,1,805
5190,2018-11-16,2021-11-16,0.0,2021-11-16,1096,C,1096,2021-11-16,1,1096
5206,2018-11-16,2021-03-01,0.0,2021-03-01,836,C,836,2021-03-01,1,836
5392,2018-11-16,2020-12-28,0.0,2020-12-28,773,C,773,2020-12-28,1,773
2911,2018-11-17,2021-01-07,1.0,2021-01-07,782,F,739,2020-11-25,1,739
2911,2018-11-17,2021-01-07,1.0,2021-01-07,782,C,782,2021-01-07,2,43
4457,2018-11-17,2020-02-16,1.0,2020-02-16,456,F,277,2019-08-21,1,277
4457,2018-11-17,2020-02-16,1.0,2020-02-16,456,C,456,2020-02-16,2,179
6403,2018-11-17,2021-11-06,0.0,2021-11-06,1085,C,1085,2021-11-06,1,1085
428,2018-11-18,2021-11-18,0.0,2021-11-18,1096,C,1096,2021-11-18,1,1096
1496,2018-11-18,2021-08-24,0.0,2021-08-24,1010,C,1010,2021-08-24,1,1010
2376,2018-11-18,2020-09-10,0.0,2020-09-10,662,C,662,2020-09-10,1,662
5332,2018-11-18,2021-11-18,0.0,2021-11-18,1096,C,1096,2021-11-18,1,1096
8919,2018-11-18,2021-11-18,1.0,2021-11-18,1096,F,1006,2021-08-20,1,1006
8919,2018-11-18,2021-11-18,1.0,2021-11-18,1096,C,1096,2021-11-18,2,90
9024,2018-11-18,2021-11-18,0.0,2021-11-18,1096,C,1096,2021-11-18,1,1096
9046,2018-11-18,2021-11-18,0.0,2021-11-18,1096,C,1096,2021-11-18,1,1096
106,2018-11-19,2021-10-28,0.0,2021-10-28,1074,C,1074,2021-10-28,1,1074
1965,2018-11-19,2021-11-19,0.0,2021-11-19,1096,C,1096,2021-11-19,1,1096
4413,2018-11-19,2020-04-07,0.0,2020-04-07,505,C,505,2020-04-07,1,505
8200,2018-11-19,2021-11-19,0.0,2021-11-19,1096,C,1096,2021-11-19,1,1096
795,2018-11-20,2021-11-20,1.0,2021-11-20,1096,F,488,2020-03-22,1,488
795,2018-11-20,2021-11-20,1.0,2021-11-20,1096,C,1096,2021-11-20,2,608
2699,2018-11-20,2021-03-05,1.0,2021-03-05,836,F,297,2019-09-13,1,297
2699,2018-11-20,2021-03-05,1.0,2021-03-05,836,C,836,2021-03-05,2,539
8064,2018-11-20,2021-11-20,0.0,2021-11-20,1096,C,1096,2021-11-20,1,1096
848,2018-11-21,2021-11-21,0.0,2021-11-21,1096,C,1096,2021-11-21,1,1096
2266,2018-11-21,2020-11-17,0.0,2020-11-17,727,C,727,2020-11-17,1,727
4227,2018-11-21,2019-10-30,0.0,2019-10-30,343,C,343,2019-10-30,1,343
4730,2018-11-21,2019-12-29,1.0,2019-12-29,403,F,243,2019-07-22,1,243
4730,2018-11-21,2019-12-29,1.0,2019-12-29,403,C,403,2019-12-29,2,160
5036,2018-11-21,2020-10-10,0.0,2020-10-10,689,C,689,2020-10-10,1,689
5108,2018-11-21,2021-01-27,1.0,2021-01-27,798,F,116,2019-03-17,1,116
5108,2018-11-21,2021-01-27,1.0,2021-01-27,798,C,798,2021-01-27,2,682
6080,2018-11-21,2021-11-21,0.0,2021-11-21,1096,C,1096,2021-11-21,1,1096
7174,2018-11-21,2021-08-31,0.0,2021-08-31,1014,C,1014,2021-08-31,1,1014
8870,2018-11-21,2021-11-21,0.0,2021-11-21,1096,C,1096,2021-11-21,1,1096
9061,2018-11-21,2021-11-21,0.0,2021-11-21,1096,C,1096,2021-11-21,1,1096
1065,2018-11-22,2021-04-28,0.0,2021-04-28,888,C,888,2021-04-28,1,888
1525,2018-11-22,2021-10-15,0.0,2021-10-15,1058,C,1058,2021-10-15,1,1058
2815,2018-11-22,2021-03-31,0.0,2021-03-31,860,C,860,2021-03-31,1,860
3491,2018-11-22,2021-01-04,0.0,2021-01-04,774,C,774,2021-01-04,1,774
8083,2018-11-22,2021-11-22,0.0,2021-11-22,1096,C,1096,2021-11-22,1,1096
2232,2018-11-23,2021-03-12,1.0,2021-03-12,840,F,736,2020-11-28,1,736
2232,2018-11-23,2021-03-12,1.0,2021-03-12,840,C,840,2021-03-12,2,104
5514,2018-11-23,2020-11-18,0.0,2020-11-18,726,C,726,2020-11-18,1,726
5024,2018-11-24,2021-02-13,0.0,2021-02-13,812,C,812,2021-02-13,1,812
5640,2018-11-24,2021-11-24,0.0,2021-11-24,1096,C,1096,2021-11-24,1,1096
5705,2018-11-24,2021-11-24,0.0,2021-11-24,1096,C,1096,2021-11-24,1,1096
5940,2018-11-24,2020-11-28,0.0,2020-11-28,735,C,735,2020-11-28,1,735
6347,2018-11-24,2021-11-24,0.0,2021-11-24,1096,C,1096,2021-11-24,1,1096
6429,2018-11-24,2020-11-10,0.0,2020-11-10,717,C,717,2020-11-10,1,717
7926,2018-11-24,2021-03-04,0.0,2021-03-04,831,C,831,2021-03-04,1,831
9971,2018-11-24,2021-11-24,0.0,2021-11-24,1096,C,1096,2021-11-24,1,1096
75,2018-11-25,2021-11-25,0.0,2021-11-25,1096,C,1096,2021-11-25,1,1096
1935,2018-11-25,2021-05-27,0.0,2021-05-27,914,C,914,2021-05-27,1,914
3751,2018-11-25,2020-07-23,0.0,2020-07-23,606,C,606,2020-07-23,1,606
4592,2018-11-25,2019-09-21,0.0,2019-09-21,300,C,300,2019-09-21,1,300
8233,2018-11-25,2021-11-25,0.0,2021-11-25,1096,C,1096,2021-11-25,1,1096
8886,2018-11-25,2021-11-25,0.0,2021-11-25,1096,C,1096,2021-11-25,1,1096
1166,2018-11-26,2021-02-03,1.0,2021-02-03,800,F,483,2020-03-23,1,483
1166,2018-11-26,2021-02-03,1.0,2021-02-03,800,C,800,2021-02-03,2,317
1387,2018-11-26,2021-10-19,1.0,2021-10-19,1058,F,889,2021-05-03,1,889
1387,2018-11-26,2021-10-19,1.0,2021-10-19,1058,C,1058,2021-10-19,2,169
1795,2018-11-26,2020-11-28,0.0,2020-11-28,733,C,733,2020-11-28,1,733
1925,2018-11-26,2021-01-24,2.0,2021-01-24,790,F,248,2019-08-01,1,248
1925,2018-11-26,2021-01-24,2.0,2021-01-24,790,F,324,2019-10-16,2,76
1925,2018-11-26,2021-01-24,2.0,2021-01-24,790,C,790,2021-01-24,3,466
7099,2018-11-26,2021-11-26,0.0,2021-11-26,1096,C,1096,2021-11-26,1,1096
8823,2018-11-26,2021-11-26,0.0,2021-11-26,1096,C,1096,2021-11-26,1,1096
335,2018-11-27,2021-11-27,0.0,2021-11-27,1096,C,1096,2021-11-27,1,1096
3218,2018-11-27,2021-11-27,2.0,2021-11-27,1096,F,529,2020-05-09,1,529
3218,2018-11-27,2021-11-27,2.0,2021-11-27,1096,F,569,2020-06-18,2,40
3218,2018-11-27,2021-11-27,2.0,2021-11-27,1096,C,1096,2021-11-27,3,527
3721,2018-11-27,2021-05-16,0.0,2021-05-16,901,C,901,2021-05-16,1,901
4049,2018-11-27,2019-11-30,0.0,2019-11-30,368,C,368,2019-11-30,1,368
8308,2018-11-27,2021-11-27,0.0,2021-11-27,1096,C,1096,2021-11-27,1,1096
1090,2018-11-28,2021-11-28,0.0,2021-11-28,1096,C,1096,2021-11-28,1,1096
4733,2018-11-28,2020-08-06,0.0,2020-08-06,617,C,617,2020-08-06,1,617
6506,2018-11-28,2021-01-17,0.0,2021-01-17,781,C,781,2021-01-17,1,781
140,2018-11-29,2021-11-29,0.0,2021-11-29,1096,C,1096,2021-11-29,1,1096
1623,2018-11-29,2021-01-21,0.0,2021-01-21,784,C,784,2021-01-21,1,784
4178,2018-11-29,2020-01-24,0.0,2020-01-24,421,C,421,2020-01-24,1,421
8059,2018-11-29,2021-11-29,0.0,2021-11-29,1096,C,1096,2021-11-29,1,1096
8356,2018-11-29,2021-11-29,0.0,2021-11-29,1096,C,1096,2021-11-29,1,1096
9626,2018-11-29,2021-11-29,0.0,2021-11-29,1096,C,1096,2021-11-29,1,1096
282,2018-11-30,2021-11-30,0.0,2021-11-30,1096,C,1096,2021-11-30,1,1096
495,2018-11-30,2021-06-12,0.0,2021-06-12,925,C,925,2021-06-12,1,925
812,2018-11-30,2021-11-30,0.0,2021-11-30,1096,C,1096,2021-11-30,1,1096
1430,2018-11-30,2021-07-12,0.0,2021-07-12,955,C,955,2021-07-12,1,955
7911,2018-11-30,2021-03-24,0.0,2021-03-24,845,C,845,2021-03-24,1,845
9471,2018-11-30,2021-11-30,0.0,2021-11-30,1096,C,1096,2021-11-30,1,1096
9520,2018-11-30,2021-11-30,0.0,2021-11-30,1096,C,1096,2021-11-30,1,1096
9974,2018-11-30,2021-11-30,0.0,2021-11-30,1096,C,1096,2021-11-30,1,1096
1000,2018-12-01,2021-10-29,0.0,2021-10-29,1063,C,1063,2021-10-29,1,1063
1681,2018-12-01,2021-11-27,0.0,2021-11-27,1092,C,1092,2021-11-27,1,1092
1727,2018-12-01,2021-07-20,0.0,2021-07-20,962,C,962,2021-07-20,1,962
3996,2018-12-01,2020-09-29,0.0,2020-09-29,668,C,668,2020-09-29,1,668
5111,2018-12-01,2020-07-18,0.0,2020-07-18,595,C,595,2020-07-18,1,595
7002,2018-12-01,2021-12-01,0.0,2021-12-01,1096,C,1096,2021-12-01,1,1096
365,2018-12-02,2021-12-02,0.0,2021-12-02,1096,C,1096,2021-12-02,1,1096
3427,2018-12-02,2021-02-16,0.0,2021-02-16,807,C,807,2021-02-16,1,807
5113,2018-12-02,2021-05-05,0.0,2021-05-05,885,C,885,2021-05-05,1,885
7246,2018-12-02,2021-09-13,0.0,2021-09-13,1016,C,1016,2021-09-13,1,1016
7486,2018-12-02,2021-12-02,1.0,2021-12-02,1096,F,812,2021-02-21,1,812
7486,2018-12-02,2021-12-02,1.0,2021-12-02,1096,C,1096,2021-12-02,2,284
8307,2018-12-02,2021-12-02,1.0,2021-12-02,1096,F,747,2020-12-18,1,747
8307,2018-12-02,2021-12-02,1.0,2021-12-02,1096,C,1096,2021-12-02,2,349
9215,2018-12-02,2021-12-02,0.0,2021-12-02,1096,C,1096,2021-12-02,1,1096
9932,2018-12-02,2021-12-02,0.0,2021-12-02,1096,C,1096,2021-12-02,1,1096
2791,2018-12-03,2021-03-31,1.0,2021-03-31,849,F,126,2019-04-08,1,126
2791,2018-12-03,2021-03-31,1.0,2021-03-31,849,C,849,2021-03-31,2,723
3092,2018-12-03,2021-09-25,0.0,2021-09-25,1027,C,1027,2021-09-25,1,1027
4506,2018-12-03,2020-09-14,0.0,2020-09-14,651,C,651,2020-09-14,1,651
8145,2018-12-03,2021-12-03,0.0,2021-12-03,1096,C,1096,2021-12-03,1,1096
8277,2018-12-03,2021-12-03,0.0,2021-12-03,1096,C,1096,2021-12-03,1,1096
8915,2018-12-03,2021-12-03,0.0,2021-12-03,1096,C,1096,2021-12-03,1,1096
440,2018-12-04,2021-12-04,0.0,2021-12-04,1096,C,1096,2021-12-04,1,1096
3224,2018-12-04,2021-04-30,0.0,2021-04-30,878,C,878,2021-04-30,1,878
4526,2018-12-04,2019-12-29,2.0,2019-12-29,390,F,178,2019-05-31,1,178
4526,2018-12-04,2019-12-29,2.0,2019-12-29,390,F,295,2019-09-25,2,117
4526,2018-12-04,2019-12-29,2.0,2019-12-29,390,C,390,2019-12-29,3,95
3692,2018-12-05,2020-11-22,0.0,2020-11-22,718,C,718,2020-11-22,1,718
4474,2018-12-05,2020-10-27,0.0,2020-10-27,692,C,692,2020-10-27,1,692
8260,2018-12-05,2021-12-05,0.0,2021-12-05,1096,C,1096,2021-12-05,1,1096
8473,2018-12-05,2021-12-05,0.0,2021-12-05,1096,C,1096,2021-12-05,1,1096
1134,2018-12-06,2021-12-06,0.0,2021-12-06,1096,C,1096,2021-12-06,1,1096
1530,2018-12-06,2021-11-12,0.0,2021-11-12,1072,C,1072,2021-11-12,1,1072
1632,2018-12-06,2021-11-01,0.0,2021-11-01,1061,C,1061,2021-11-01,1,1061
2450,2018-12-06,2020-10-31,0.0,2020-10-31,695,C,695,2020-10-31,1,695
5969,2018-12-06,2021-01-26,1.0,2021-01-26,782,F,711,2020-11-16,1,711
5969,2018-12-06,2021-01-26,1.0,2021-01-26,782,C,782,2021-01-26,2,71
6256,2018-12-06,2021-07-29,0.0,2021-07-29,966,C,966,2021-07-29,1,966
7404,2018-12-06,2021-12-06,1.0,2021-12-06,1096,F,1075,2021-11-15,1,1075
7404,2018-12-06,2021-12-06,1.0,2021-12-06,1096,C,1096,2021-12-06,2,21
8567,2018-12-06,2021-12-06,0.0,2021-12-06,1096,C,1096,2021-12-06,1,1096
569,2018-12-07,2021-10-09,0.0,2021-10-09,1037,C,1037,2021-10-09,1,1037
860,2018-12-07,2021-12-07,0.0,2021-12-07,1096,C,1096,2021-12-07,1,1096
4637,2018-12-07,2021-02-08,1.0,2021-02-08,794,F,8,2018-12-15,1,8
4637,2018-12-07,2021-02-08,1.0,2021-02-08,794,C,794,2021-02-08,2,786
5493,2018-12-07,2021-08-06,0.0,2021-08-06,973,C,973,2021-08-06,1,973
6142,2018-12-07,2021-12-07,0.0,2021-12-07,1096,C,1096,2021-12-07,1,1096
9541,2018-12-07,2021-12-07,0.0,2021-12-07,1096,C,1096,2021-12-07,1,1096
1442,2018-12-08,2021-12-08,1.0,2021-12-08,1096,F,700,2020-11-07,1,700
1442,2018-12-08,2021-12-08,1.0,2021-12-08,1096,C,1096,2021-12-08,2,396
2116,2018-12-08,2020-10-26,0.0,2020-10-26,688,C,688,2020-10-26,1,688
7816,2018-12-08,2021-09-17,0.0,2021-09-17,1014,C,1014,2021-09-17,1,1014
1641,2018-12-09,2021-12-09,1.0,2021-12-09,1096,F,732,2020-12-10,1,732
1641,2018-12-09,2021-12-09,1.0,2021-12-09,1096,C,1096,2021-12-09,2,364
1822,2018-12-09,2021-12-09,0.0,2021-12-09,1096,C,1096,2021-12-09,1,1096
2057,2018-12-09,2020-05-30,0.0,2020-05-30,538,C,538,2020-05-30,1,538
2146,2018-12-09,2021-10-19,1.0,2021-10-19,1045,F,595,2020-07-26,1,595
2146,2018-12-09,2021-10-19,1.0,2021-10-19,1045,C,1045,2021-10-19,2,450
3320,2018-12-09,2021-08-02,0.0,2021-08-02,967,C,967,2021-08-02,1,967
4231,2018-12-09,2020-03-09,1.0,2020-03-09,456,F,1,2018-12-10,1,1
4231,2018-12-09,2020-03-09,1.0,2020-03-09,456,C,456,2020-03-09,2,455
4865,2018-12-09,2020-08-12,0.0,2020-08-12,612,C,612,2020-08-12,1,612
5921,2018-12-09,2021-07-04,0.0,2021-07-04,938,C,938,2021-07-04,1,938
7396,2018-12-09,2021-12-09,0.0,2021-12-09,1096,C,1096,2021-12-09,1,1096
7593,2018-12-09,2021-12-09,1.0,2021-12-09,1096,F,779,2021-01-26,1,779
7593,2018-12-09,2021-12-09,1.0,2021-12-09,1096,C,1096,2021-12-09,2,317
822,2018-12-10,2021-09-20,0.0,2021-09-20,1015,C,1015,2021-09-20,1,1015
5681,2018-12-10,2021-10-19,0.0,2021-10-19,1044,C,1044,2021-10-19,1,1044
5712,2018-12-10,2021-08-04,0.0,2021-08-04,968,C,968,2021-08-04,1,968
6762,2018-12-10,2021-04-16,0.0,2021-04-16,858,C,858,2021-04-16,1,858
6780,2018-12-10,2021-05-27,0.0,2021-05-27,899,C,899,2021-05-27,1,899
8506,2018-12-10,2021-12-10,0.0,2021-12-10,1096,C,1096,2021-12-10,1,1096
180,2018-12-11,2021-12-11,0.0,2021-12-11,1096,C,1096,2021-12-11,1,1096
494,2018-12-11,2021-12-11,0.0,2021-12-11,1096,C,1096,2021-12-11,1,1096
915,2018-12-11,2021-12-11,0.0,2021-12-11,1096,C,1096,2021-12-11,1,1096
2381,2018-12-11,2020-06-08,0.0,2020-06-08,545,C,545,2020-06-08,1,545
2589,2018-12-11,2020-09-15,0.0,2020-09-15,644,C,644,2020-09-15,1,644
