car_type,model_year,interval_start,interval_end,duration,exposure_month,n_censored,n_failed,active_warranties,ln_warranties
Compact SUV,2019,2021-01-01,2021-01-31,23,01,1.0,1.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,24,01,1.0,0.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,25,01,3.0,0.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,26,01,2.0,0.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,27,01,1.0,0.0,981,6.8885724595653635
Compact SUV,2019,2021-02-01,2021-02-28,11,02,0.0,1.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,16,02,0.0,2.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,19,02,1.0,0.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,20,02,1.0,0.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,21,02,4.0,0.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,23,02,3.0,0.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,24,02,4.0,2.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,25,02,1.0,0.0,966,6.873163834212518
Compact SUV,2019,2021-02-01,2021-02-28,27,02,1.0,0.0,966,6.873163834212518
Compact SUV,2019,2021-03-01,2021-03-31,17,03,0.0,1.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,19,03,1.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,20,03,0.0,1.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,21,03,1.0,1.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,22,03,2.0,1.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,23,03,3.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,24,03,2.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,25,03,4.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,26,03,3.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,28,03,2.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-03-01,2021-03-31,29,03,1.0,0.0,949,6.855408798609928
Compact SUV,2019,2021-04-01,2021-04-30,15,04,0.0,1.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,20,04,2.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,21,04,3.0,1.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,22,04,1.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,23,04,3.0,2.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,24,04,7.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,25,04,4.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,26,04,2.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,27,04,2.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-04-01,2021-04-30,28,04,1.0,0.0,932,6.837332814685591
Compact SUV,2019,2021-05-01,2021-05-31,20,05,0.0,1.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,21,05,2.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,22,05,2.0,2.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,23,05,5.0,1.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,24,05,4.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,25,05,4.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,26,05,2.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,27,05,1.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,28,05,7.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,29,05,3.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-05-01,2021-05-31,30,05,1.0,0.0,904,6.806829360392176
Compact SUV,2019,2021-06-01,2021-06-30,19,06,0.0,1.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,20,06,3.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,21,06,4.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,22,06,2.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,23,06,7.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,24,06,3.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,25,06,2.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,26,06,2.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,27,06,3.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-06-01,2021-06-30,30,06,2.0,0.0,875,6.774223886357614
Compact SUV,2019,2021-07-01,2021-07-31,20,07,1.0,1.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,21,07,3.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,22,07,3.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,23,07,1.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,24,07,10.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,25,07,4.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,26,07,4.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,27,07,5.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,28,07,7.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,29,07,1.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,30,07,1.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-07-01,2021-07-31,31,07,2.0,0.0,847,6.741700694652055
Compact SUV,2019,2021-08-01,2021-08-31,19,08,1.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,20,08,1.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,21,08,2.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,22,08,4.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,23,08,6.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,24,08,6.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,25,08,9.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,26,08,5.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,27,08,9.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,28,08,2.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,29,08,4.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,30,08,5.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,31,08,2.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,32,08,2.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-08-01,2021-08-31,33,08,2.0,0.0,806,6.692083742506628
Compact SUV,2019,2021-09-01,2021-09-30,19,09,1.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,20,09,1.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,21,09,2.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,22,09,3.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,23,09,2.0,1.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,24,09,4.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,25,09,5.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,26,09,6.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,27,09,8.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,28,09,3.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,29,09,4.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,30,09,2.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,31,09,4.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,33,09,1.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-09-01,2021-09-30,34,09,1.0,0.0,742,6.60934924316738
Compact SUV,2019,2021-10-01,2021-10-31,19,10,1.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,20,10,3.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,22,10,1.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,23,10,4.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,24,10,6.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,25,10,6.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,26,10,4.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,27,10,8.0,1.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,28,10,3.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,29,10,2.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,30,10,4.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,31,10,3.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,32,10,1.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,34,10,4.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-10-01,2021-10-31,36,10,3.0,0.0,699,6.54965074223381
Compact SUV,2019,2021-11-01,2021-11-30,19,11,0.0,1.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,22,11,1.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,23,11,2.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,24,11,6.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,25,11,7.0,1.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,26,11,8.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,27,11,7.0,1.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,28,11,5.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,29,11,3.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,31,11,4.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,32,11,2.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,33,11,1.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,34,11,2.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-11-01,2021-11-30,36,11,4.0,0.0,643,6.466144724237619
Compact SUV,2019,2021-12-01,2021-12-31,23,12,1.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,24,12,1.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,25,12,8.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,26,12,3.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,27,12,4.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,28,12,8.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,29,12,4.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,30,12,1.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,31,12,6.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,32,12,7.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,33,12,1.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,34,12,1.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,35,12,1.0,0.0,593,6.385194398997726
Compact SUV,2019,2021-12-01,2021-12-31,36,12,2.0,0.0,593,6.385194398997726
Compact SUV,2019,2022-01-01,2022-01-31,19,01,1.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,22,01,2.0,1.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,24,01,4.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,25,01,3.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,26,01,2.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,27,01,7.0,1.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,28,01,7.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,29,01,5.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,30,01,5.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,31,01,4.0,2.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,32,01,3.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,33,01,8.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,34,01,1.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,35,01,1.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-01-01,2022-01-31,36,01,2.0,0.0,543,6.297109319933935
Compact SUV,2019,2022-02-01,2022-02-28,21,02,1.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,22,02,3.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,24,02,1.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,25,02,6.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,26,02,6.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,27,02,5.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,28,02,7.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,29,02,4.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,30,02,5.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,31,02,5.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,32,02,4.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,33,02,2.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,34,02,2.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,35,02,3.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-02-01,2022-02-28,36,02,6.0,0.0,489,6.192362489474872
Compact SUV,2019,2022-03-01,2022-03-31,22,03,1.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,24,03,2.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,25,03,1.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,26,03,3.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,27,03,4.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,28,03,6.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,29,03,4.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,30,03,4.0,1.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,31,03,3.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,32,03,5.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,33,03,3.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,34,03,4.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,35,03,1.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-03-01,2022-03-31,36,03,4.0,0.0,431,6.066108090103747
Compact SUV,2019,2022-04-01,2022-04-30,24,04,1.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,25,04,2.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,26,04,3.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,27,04,5.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,28,04,4.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,29,04,2.0,1.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,30,04,4.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,31,04,3.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,32,04,4.0,1.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,33,04,9.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,34,04,4.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,35,04,1.0,1.0,385,5.953243334287785
Compact SUV,2019,2022-04-01,2022-04-30,36,04,9.0,0.0,385,5.953243334287785
Compact SUV,2019,2022-05-01,2022-05-31,23,05,1.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,24,05,1.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,25,05,1.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,26,05,4.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,27,05,4.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,28,05,6.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,29,05,4.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,30,05,8.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,31,05,3.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,32,05,2.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,33,05,3.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,34,05,2.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,35,05,4.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-05-01,2022-05-31,36,05,12.0,0.0,333,5.808142489980444
Compact SUV,2019,2022-06-01,2022-06-30,25,06,2.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,27,06,3.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,28,06,2.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,29,06,2.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,30,06,5.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,31,06,4.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,32,06,9.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,33,06,1.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,34,06,3.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-06-01,2022-06-30,36,06,16.0,0.0,276,5.62040086571715
Compact SUV,2019,2022-07-01,2022-07-31,25,07,0.0,2.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,26,07,1.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,28,07,2.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,29,07,3.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,30,07,1.0,1.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,31,07,3.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,32,07,6.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,33,07,2.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,34,07,3.0,1.0,231,5.442417710521793
Compact SUV,2019,2022-07-01,2022-07-31,36,07,14.0,0.0,231,5.442417710521793
Compact SUV,2019,2022-08-01,2022-08-31,27,08,3.0,1.0,196,5.278114659230517
Compact SUV,2019,2022-08-01,2022-08-31,28,08,2.0,0.0,196,5.278114659230517
